ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
159690;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;VICE PRESIDENTA DE LA C. N. E.;2015;2019
159695;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETARIO GENERAL DEL COMITE EJECUTIVO DEL DISTRITO DE SANTIAGO DE SURCO;2015;2016
159695;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETARIO DE ORGANIZACION DEL COMITE EJECUTIVO DEL DISTRITO DE SANTIAGO DE SURCO;2017;2018
159697;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;2019;2019;2019
160516;PARTIDO POLÍTICO NUEVA MAYORIA;PRESIDENTA;2004;2012
160516;AGRUPACIÓN INDEPENDIENTE NUEVA MAYORÍA;SECRETARIA GENERAL NACIONAL;1998;2004
160520;CAMBIO 90;SECRETARIO NACIONAL DE ECONOMÍA - PERSONERO LEGAL;1989;1994
160521;PARTIDO POLÍTICO AGRUPACION INDEPENDIENTE SI CUMPLE;SECRETARIO NACIONAL DE ASUNTOS LABORALES;2006;2006
160523;PARTIDO POLÍTICO RESTAURACION NACIONAL;MIEMBRO DEL CEN - SECRETARIO NACIONAL DE FORMACIÓN Y CAPACITACIÓN;2009;2010
160524;PARTIDO POLÍTICO RENOVACION NACIONAL;TESORERO;2004;2010
160524;PARTIDO POLÍTICO RENOVACION NACIONAL;REPRESENTANTE LEGAL;2004;2010
160535;PARTIDO POLÍTICO NUEVA MAYORIA;SECRETARIO PROVINCIAL;1995;2010
160535;PARTIDO POLÍTICO FUERZA POPULAR;COORDINADOR SECTORIAL;2014;2019
160539;PARTIDO POLÍTICO FUERZA POPULAR;SECRETARIA DE LA MUJER - SAN BORJA;2018;2019
160541;PARTIDO POLÍTICO FUERZA POPULAR;SECRETARIA DE LA MUJER;2016;2019
