ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159690;CENTRO ESTÉTICA ISABEL;COSMETOLOGIA;SI
159694;UNI;COMPUTACIÓN;SI
160516;ASOCIACIÓN CULTURAL PERUANO BRITÁNICA;INGLES - LOWER CAMBRIDGE CERTIFICATE;SI
160529;SEMINARIO BÍBLICO BAUTISTA;GRADUADO EN TEOLOGÍA;SI
160531;UNIVERSIDAD NACIONAL DE TRUJILLO;DIPLOMADO EN GESTION PUBLICA;SI
160532;EDIM;DECORACIÓN DE INTERIOR;SI
160537;SENATI - CHIMBOTE;COMPUTACION;
158377;CERCIL;REHABILITACION INTEGRAL;SI
158396;COLEGIO DE ABOGADOS;CONCILIACIÓN EXTRAJUDICIAL;SI
160605;SENATI;TÉCNICO CONFECCIONISTA;
160622;CEO AUGUSTO SALAZAR BONDY;SECRETARIA EJECUTIVA;SI
160623;CENTRO DE IDIOMAS - UIGV;INGLES;SI
160628;INSTITUTO SUPERIOR TECNOLÓGICO TELESUP;EGRESADO TECNICO EN CONTABILIDAD;SI
159893;UNIVERSIDAD DE CASTILLA - LA MANCHA (MADRID - ESPAÑA);GESTION DEL DESARROLLO REGIONAL Y LOCAL;SI
159898;CENTRO DE ALTOS  ESTUDIOS NACIONALES (CAEN);DIPLOMADO EN ADMINISTRACIÓN  GESTION PUBLICA;SI
159906;ALIANZA FRANCESA;FRANCES;
159912;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;ESPECIALIZACIÓN EN GESTIÓN MUNICIPAL;SI
159919;UNIVERSIDAD NACIONAL DE SAN MARCOS;DIPLOMADO EN SECRETARIADO EJECUTIVO;SI
161423;GESTIÓN PÚBLICA Y POLÍTICAS PUBLICAS;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;SI
161433;UNIVERSIDAD ANTONIO RUIZ DE MONTOYA;DIPLOMA EN INNOVACIÓN Y GESTIÓN DEL TURISMO;SI
161434;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DIPLOMADO EN GESTIÓN PUBLICA;SI
161441;INSTITUTO SUPERIOR TECNOLÓGICO TÚPAC AMARU - ISTTA DE CUSCO;CONTABILIDAD;SI
161195;AUSTIN COMMUNITY COLLEGE;ASSOCIATE OF SCIENCE IN BUSINESS ADMINISTRATION;SI
161196;INSTITUTO DE CAPACITACIÓN JURÍDICA;DIPLOMADO EN VIOLENCIA FAMILIAR  Y GÉNERO;SI
161197;ESAN;DIPLOMADO EN DERECHO CORPORATIVO;SI
161214;ACADEMIA DIPLOMATICA DEL PERÚ;DIPLOMADO ANÁLISIS DE LA POLÍTICA INTERNA Y LA POLÍTICA INTERNACIONAL DEL PERÚ;SI
161218;INSTITUTO SUPERIOR PEDAGÓGICO;EDUCACIÓN PRIMARIA;SI
159246;CORPORACION ANDINA DE FOMENTO - THE GEORGE WASHINGTON UNIVERSITY Y LA PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DIPLOMADO DE GOBERNABILIDAD Y GERENCIA POLITICA;SI
159247;UNIVERSIDAD SAN MARTIN DE PORRES;GESTION DEPORTIVA FIFA;SI
159262;UNIVERSIDAD DEL PACIFICO;DIPLOMADO EN COMUNICACION POLITICA;SI
159275;CENTRO DE IDIOMAS CESAR VALLEJO;NIVEL DE IDIOMA INGLES ELEMENTAL DE MAESTRIA;SI
160890;SISTEMAS TECNOLOGICOS SISTEC;COMPUTACION;SI
159953;KODAK INTERNACIONAL;FOTOGRADIA;SI
159955;INSTITUTO POUSSIN;FOTOGRAFIA;SI
159956;INSTITUTO XINERGIA;ANALISIS TRANSACCIONAL;SI
159961;ISTDI CAME;DIRECCION DE EMPRESAS;SI
161037;IPAE;DIPLOMADO DE ADMINISTRACIÓN Y NEGOCIOS;SI
161048;COLEGIO DE ABOGADOS DEL CONO NORTE;CONCILIADOR;SI
161048;COLEGIO DE ABOGADOS DEL CONO NORTE;CONCILIADOR;SI
161052;HARVARD UNIVERSITY;PROFESSIONAL DEVELOPMENT PROGRAM;SI
161054;INSTITUTO SUPERIOR SAN VICENTE;ADMINISTRACIÓN FINANCIERA;SI
161056;THE GRADUATE SCHOOL OF POLITICAL MANAGEMENT THE GEORGE WASHINGTON UNIVERSITY;TALLER DE ESTRATEGIAS DE CAMPAÑAS ELECTORALES;SI
161057;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DIPLOMADO DE ACTOR PROFESIONAL;SI
161068;CAEN - CENTRO DE ALTOS ESTUDIOS NACIONALES;GESTIÓN PÚBLICA;SI
160361;COLEGIO DE CONTADORES DE LIMA;PERITO JUDICIAL;SI
160372;LA CANTUTA;ELECTRICIDAD INDUSTRIAL;SI
160375;PC LETICIA;TELEFONIA;SI
160376;MANUEL GONZALES PRADA;DOCENTE DE HISTORIA Y GEOGRAFIA;SI
160378;NORMAL SUPERIOR SALESIANA;PROFESOR DE MATEMATICA;SI
160388;UNIVERSIDAD MAYOR DE SAN MARCOS FACULTAD DE EDUCACION;AUXILIAR Y TUTOR EN EDUCACION;SI
160835;CICEX;INGLES TECNICO;
160837;LA GORDON BLUE;CAFE BARISTA;SI
159832;COLEGIO DE ABOGADOS DEL CONO NORTE;CONCILIADOR EXTRAJUDICIAL;SI
159835;INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO;PROFESORA DE EDUCACIÓN PRIMARIA JESÚS DE NAZARETH;SI
159837;AMAUTA;EDUCACION ESPECIALIZACION HISTORIA Y GEOGRAFIA;SI
159838;CENTRO DE ALTOS ESTUDIOS NACIONALES - CAEN;DESARROLLO Y DEFENSA NACIONAL;SI
159857;DIPLOMADOS;DERECHO Y CIENCIAS POLÍTICAS;SI
159860;UNIVERSIDAD SAN IGNACIO DE LOYOLA;DIPLOMADO EN GESTIÓN DE NEGOCIOS;SI
158725;EIDHI INTERNATIONAL UNIVERSITY;MASTER IN LEADERSHIP AND ORGANIZATIONAL DEVELOPMENT WITH COACHING;SI
158727;UNIVERSIDAD DE PIURA;EDUCACIÓN DE ESTUDIOS UNIVERSITARIOS;SI
158730;PAD UNIVERSIDAD DE PIURA;PROGRAMA PARA PROPIETARIOS DE EMPRESA;SI
158731;ESCUELA DE TEATRO FRECUENCIA LATINA;TEATRO;SI
158742;EIGER;INGLES;
158757;PRIVATEACHER;INGLES BASICO;SI
160998;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;ADMINISTRACION DE EMPRESAS;SI
160999;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU PUC;GERENCIA POLITICA;SI
159615;UNIVERSIDAD NACIONAL DE INGENIERÍA;ESPECIALIZACIÓN EN SISTEMAS DE GESTIÓN OHSAS 18001;SI
159617;UNIVERSIDAD ESAN;ESPECIALIZACIÓN EN DERECHO Y REGULACIÓN DE LA ENERGÍA;SI
159513;UIGV;DERECHO;
161241;PATMOS;CONCILIADOR EXTRAJUDICIAL;SI
158116;ISPPC;DOCENTE MATEMÁTICAS;SI
158195;BRITÁNICO;INGLÉS;
157912;INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO LORETO;COMPUTACIÓN PARA DOCENTES;SI
157913;INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO MONSEÑOR ELÍAS OLÁZAR;PROFESOR PRIMARIA;SI
158701;UNIVERSIDA NACIONAL AUTONOMA DE ALTO AMAZONAS;AGRONOMIA;
158703;MYCROSISTEM;OFIMATICA;
161629;INSTITUTO SUPERIOR TECNOLOGICO ESTATAL AMAZONAS YURIMAGUAS;PRODUCCION AGROPECUARIA;SI
161630;CENTRO DE EDUCACION TECNICO PRODUCTIVO -CONTAMANA;COMPUTACION E INFORMATICA;SI
161631;CETPRO SAN ANTONIO DE PADUA;MODAS;SI
159418;UNIVERSIDAD ESAN;DIPLOMADO EN FORMULACION Y EVALUACION DE PROYECTOS;SI
159419;UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA;GASTRONOMIA Y ARTE CULINARIO;SI
159420;UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA;ASUNTOS REGULATORIOS Y DERECHOS FAMACEUTICOS;SI
159427;INSTITUTO DE EDUCACION SUPERIOR PUBLICO EDISLAO MERA DAVILA;EDUCACION PRIMARIA;SI
161184;INSTITUTO SUPERIOR PEDAGÓGICO FRAY FRANCISCO PASCUAL ALEGRE;PROFESORA EN EDUCACIÓN PRIMARIA;SI
161815;IPAE;ADMINISTRACION DE EMPRESA;SI
160321;CENTRO SUPERIOR MAGISTERIAL;PROFESOR;SI
158990;CENTRO DE FORMACION Y CONCILIACION AVENDAÑO;CONCILIADOR EXTRA JUDICIAL;SI
157917;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO NUESTRA SEÑORA DEL ROSARIO;PROFESOR EN CIENCIAS NATURALES - MENCIÓN EN BIOLOGÍA Y QUÍMICA;SI
158603;ESUCAP;DOCENTE EN AUXILIAR;SI
161024;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO GENERALISIMO JOSE DE SAN MARTIN;PROFESOR DE EDUCACION PRIMARIA;SI
160636;CENTRO PERUANO DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS -CEPSCON-;CONCILIACIÓN EXTRAJUDICIAL;SI
159028;INSTITUTO SUPERIOR PEDAGOGICO JOSE JIMENEZ BORJA;EDUCACION;SI
159031;ISTP OMATE;AGROPECUARIA;SI
160565;ISP EDUTEK;EDUCACIÓN;SI
161900;INSTITUTO SUPERIOR FRANCISCO DE PAULA VIGIL;TECNICO EN CONTABILIDAD;SI
159324;EDELMI CHAVEZ;MUSICA;SI
158071;ISPP MERCEDES CARBONERA;EDUCACIÓN PRIMARIA;SI
157950;CENTRUM - CATÓLICA;ADMINISTRACION Y  HABILIDADES DIRECTIVAS;SI
159662;ISPP FRAY ANGEL JOSE AZAGRA MURILLO;PRIMARIA EIB - EDUCACION INICIAL;SI
158307;ISP GRAMANIEL BLANCO MURILLO;EDUCACION PRIMARIA;SI
158827;INSTITUTO SUPERIOR TECNOLÓGICO PASCO;COMPUTACIÓN E INFORMÁTICA;SI
158828;INSTITUTO SUPERIOR TECNOLÓGICO ALEXANDER VONN HUMBOLDT;CONTABILIDAD;SI
161471;INSTITUTO PERUANO NORTEAMERICANO;IDIOMA INGLES;SI
158224;ICPNA Y  PRIVATEACHER;INGLES AVANZADO;SI
160699;INSTITUTO SUPERIOR PEDAGÓGICO PÚBLICO MANUEL VEGAS CASTILLO - AYABACA;ESPECIALIDAD EDUCACIÓN PRIMARIA;SI
157930;INSTITUTO SUPERIOR PEDAGÓGICO PIURA;EDUCACIÓN;SI
159002;SAN LUIS GONZAGA DE ICA;CONTABILIDAD;SI
159793;INSTITUTO DE DESARROLLO GERENCIAL - UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO - ANCASH;CALIDAD DE LA ADMINISTRACIÓN MUNICIPAL;SI
160575;ESCUELA NORMAL SUPERIOR DE "FRONTERA SULLANA";PROF DE MATEMÁTICA Y FÍSICA;SI
160395;UNIVERSIDAD ANTONIO RUIZ DE MONTOYA;DIPLOMA  ÉTICA Y POLÍTICA;SI
160396;UNI ANTONIO RUIZ MONTOYA;DIPLOMADO EN DERECHOS HUMANOS;SI
160400;CEPRO LA CANTUTA;OFIMÁTICA I Y EMPRESARIAL;SI
161826;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO HERMANO VICTORINO ELORZ GOICOCHEA - SULLANA-;PROFESORA DE EDUCACION INICIAL;SI
158142;INSTITUTO SUPERIOR PEDADOGICO PIURA;EDUCACION SECUNDARIA - LENGUA Y LITERATURA;SI
160935;CEO AMSTERDAM;COMPUTACIÓN E INFORMÁTICA;SI
161618;INSTITUTO SUPEIOR PEDAGOGICO PIURA;EDUCACION PRIMARIA;SI
159330;ISPP-PIURA;MATEMATICA;SI
159500;CLUB DE MECANICOS;LETURA E INGENIERIA;
158963;INSTITUTO COSMOS;TECNICO EN CONTABILIDAD;SI
157932;INSTITUTO SUPERIOR PEDAGÓGICO PUBLICO AZÁNGARO;EDUCACIÓN PRIMARIA;SI
161074;INSTITUTO SUPERIOR PEDAGOGICO - JULIACA;EDUCACION PRIMARIA;SI
161993;SENATI;INDUSTRIA  ALIMENTARIA;SI
161884;INSTITUTO SUPERIOR PEDAGOGICO AZANGARO;EDUCACION;SI
161885;INSTITUTO SUPERIOR TECNOLOGICO JOSE ANTONIO ENCINAS PUNO;ELECTRICIDAD;SI
160316;INSTITUTO SUPERIOR PEDAGÓGICO DE PUNO;PROFESORA DE EDUCACIÓN SECUNDARIA - ESPECIALIDAD MATEMÁTICA;SI
159445;CENTRO DE IDIOMAS UNA PUNO;INGLES - ITALIANO;SI
160643;INSTITUTO SUPERIOR PEDAGÓGICO DE PUNO;PROFESOR: EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA;SI
158888;INSTPA;SECRETARIADO EJECUTIVO;SI
161151;IESPP "GENERALISIMO JOSE DE SAN MARTIN";PROFESORA DE EDUCACION INICIAL;SI
157938;INSTITUTO SUPERIOR PEDAGOGICO GENERALISIMO DON JOSE DE SAN MARTIN;EDUCACION PRIMARIA;SI
158185;INSTITUTO SUPERIOR PEDAGÓGICO TARAPOTO;PROFESOR DE EDUCACIÓN PRIMARIA;SI
158997;IES SAN IGNACIO DE TOCACHE;EDUCACION PRIMARIA;SI
159338;SEMINARIO BAUTISTA DEL PERU;TEOLOGIA;SI
160764;UNIVERSIDAD NACIONAL DE SAN MARTIN;INGENIERIA DE SISTEMAS E INFORMATICA;
158123;ASIMARC;CONCILIADORES ESPECIALIZADOS EN FAMILIA;SI
158124;INSTITUTO SUPERIOR PEDAGÓGICO DE UCHIZA;COMUNICACIÓN;SI
161370;SUPERINTENDENCIA NACIONAL DE ADMINISTRACION TRIBUTARIA - INSTITUTO DE ADMINISTRACION TRIBUTARIA Y ADUANERA (EX ESCUELA NACIONAL DE ADUANAS);AGENTE DE ADUANA;SI
159437;ACADEMIA NACIONAL DE LA MAGISTRATURA;PROGRAMA DE FORMACION DE ASPIRANTES A MAGISTRADOS JUDICIALES;SI
158127;INSTITUTO DEL CIRCULO INTERNACIONAL DE ALTA ASESORIA;CURSO SUPERIOR DE ESPECIALIZACIÓN FORMACIÓN DE PERITOS JUDICIALES EN GRAFOTECNIA;SI
159881;CENTRO INTERNACIONAL DE MASAJES CHINOS;ESPECIALIZACIÓN EN TERAPIAS ALTERNATIVAS;SI
159476;INSTITUTO SUPERIOR PEDAGOGICO ESTATAL DE JULI;LENGUA Y LITERATURA;SI
160640;ESCUELA NORMAL JOSE ANTONIO ENCINAS;EDUCACION BÁSICA REGULAR;SI
160641;ESCUELA NORMAL MIXTA "JOSÉ ANTONIO ENCINAS";PROFESOR DE EDUCACIÓN PRIMARIA;SI
159443;INSTITUTO SUPERIOR PEDAGÓGICO "JOSÉ ANTONIO ENCINAS";EDUCACIÓN FÍSICA;SI
161359;INSTITUTO SUPERIOR TECNOLÓGICO NO ESTATAL DEL NORTE;ADMINISTRACIÓN  DE EMPRESAS;SI
161360;INSTITUTO SUPERIOR JOSE ANTONIO ENCINAS;PROFESORA  DE EDUCACION INICIAL;SI
158711;ESCUELA DE OFICIALES PNP;OFICIALES PNP (RETIRADO);SI
159158;INSTITUTO SUPERIOR PEDAGÓGICO "JOSÉ ANTONIO ENCINAS";EDUCAIÓN SEUNDARIA CCNN FÍSICA Y QUÍMICA;SI
159510;INSTITUTO JOSE PARDO;MECANICA AUTOMOTRIZ;SI
158847;INSTITUTO SUPERIOR PEDAGOGICO JOSE ANTONIO ENCINAS;PROFESOR DE EDUCACION SECUNDARIA ESPECIALIDAD LENGUA Y LITERATURA;SI
158849;INSTITUTO SUPERIOR PEDAGOGICO PRIVADO CHILIMASA;PROFESORA DEL NIVEL INICIAL;SI
161613;CELAEP;RECURSOS HIDRICOS;SI
161186;UPC ESCUELA DE POSTGRADO;DIPLOMADO EN ASESORÍA COMERCIAL Y FINANCIERO;SI
161187;YNNYS;COSMETRÍA;SI
157869;MINJUS;CONCILIADORA - ESPECIALISTA EN FAMILIA;SI
161507;UNIVERSIDAD NACIONAL DEL CALLAO- CENTRO DE IDIOMAS;PORTUGUES;
158856;ICPNA;INGLES;SI
158206;UNIVERSIDAD SAN IGNACIO DE  LOYOLA;ESPECIALISTA EN MICROFINANZA;SI
159790;ASOCIACIÓN CULTURAL PERUANO BRITÁNICA;INGLES;SI
159791;CENTRO CULTURAL PERUANO BRITÁNICO;INGLÉS;SI
159792;CEO SAN FRANCISCO DE ASÍS;PRIMEROS AUXILIOS;SI
158922;INSTITUTO VIRGEN DEL CARMEN;TÉCNICA EN FARMACIA;SI
159211;CENTRO DE ALTOS ESTUDIOS MILITARES;TERCER CURSO BASICO DE DESARROLLO Y DEFENSA NACIONAL;SI
158966;SENCICO;AUTOCAD INICIAL  12 - 14;SI
161596;SAN MARCOS;TECNICO AUXILIAR;SI
157960;IESPOO;OPTOMETRIA;
158836;INSTITUTO SUPERIOR PEDAGOGICO HORACIO ZEBALLOS GAMEZ;EDUCACIÓN PRIMARIA;SI
158818;INSTITUTO SUPERIOR PEDAGOGICO JOSE CRESPO Y CASTILLO;PROFESOR  DE EDUCACION SECUNDARIA-CCNN;SI
160583;INSTITUTO SUPERIOR PEDAGÓGICO  DE PUCALLPA;PROFESOR DE PRIMARIA;SI
160281;INSTITUTO PERUANO DE ADMINISTRACIÓN DE EMPRESAS;ADMINISTRACIÓN DE NEGOCIOS;
