ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
160516;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;MAESTRÍA EN DERECHO INTERNACIONAL ECONÓMICO;SI;SI
160517;UNIVERSIDAD SAN MARTÍN DE PORRES;MAESTRÍA EN SOLUCIÓN DE CONFLICTOS;SI;SI
160520;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRIA EN SOCIOLOGIA - ESTUDIOS POLITICOS;SI;SI
160521;UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE;DOCTORADO EN EDUCACION;SI;SI
160523;UNIVERSIDAD DEL PACIFICO;GESTIÓN PÚBLICA (CURSANDO);;NO
160525;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO;SI;SI
160526;UNIVERSIDAD DE CHILE;GESTIÓN DE PROYECTOS Y MARKETING;SI;SI
160530;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO CONSTITUCIONAL Y DERECHOS HUMANOS;SI;SI
160534;UNIVERSIDAD DEL PACIFICO;COMUNICACION POLITICA;SI;SI
160535;UNIVERSIDAD ESAN;GESTION MUNICIPAL;SI;SI
160536;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;MAESTRÍA EN DERECHO PENAL;;NO
160540;UNIVERSIDAD RICARDO PALMA;CIENCIAS POLITICAS;SI;SI
160541;UNIVERSIDAD MAYOR DE SAN MARCOS;RIESGO PSICOSOCIAL Y SEGURIDAD CIUDADANA;SI;SI
160544;UNIVERSIDAD CESAR VALLEJO;GESTION Y DOCENCIA;SI;SI
160547;ENRIQUE GUZMAN Y VALLE;GESTION PUBLICA;SI;SI
158368;UNIVERSIDAD NACIONAL;GESTIÓN DE PROYECTOS;SI;SI
158368;UNIVERSIDAD NACIONAL;GESTIÓN DE PROYECTOS;SI;SI
158370;UNIVERSIDAD AUTÓNOMA DE CATALUÑA  ESPAÑA;GESTIÓN DE POLÍTICAS PÚBLICAS;SI;SI
158371;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;SOCIOLOGIA CON MENSION EN ESTUDIOS POLITICOS;;NO
158377;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRÍA EN CIENCIAS POLÍTICA Y GOBIERNO;SI;
158379;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRÍA EN SOCIOLOGÍA;SI;SI
158381;UNIVERSIDAD DE CHILE;GÉNERO Y ESTUDIO CULTURALES;SI;SI
158384;UNIVERSIDAD NACIONAL ENRIQUE GUZMÁN Y VALLE;GESTIÓN EDUCACIONAL;SI;SI
158389;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRÍA EN POLÍTICA SOCIAL ( MENCIÓN GESTIÓN DE PROYECTOS);;NO
158395;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;SOCIOLOGÍA;SI;SI
158397;UNIVERSITAT POMPEU FABRA;CIENCIAS POLÍTICAS Y SOCIALES;SI;SI
158403;UNIDAD DE POST GRADO DE LA FACULTAD DE DERECHO UNMSM;DERECHO CON MENCIÓN EN CIENCIAS PENALES;SI;SI
160597;INSTITUTE UNIVERSITAIRE DE HAUTES ETUDES UNIVERSITAIRES;DIPLOMADO;;NO
160598;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRIA EN ADMINISTRACION DE NEGOCIOS;SI;SI
160603;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA DE DERECHO EN CIANCIAS PENALES;SI;SI
160605;EUCIM BUSINESS SCHOOL  UNIVERSIDAD DE SAN MARTÍN DE PORRES;GESTIÓN PÚBLICA;;NO
160606;UNIVERSIDAD PERUANA UNIÒN UPEU;ADMINISTRACIÒN DE NEGOCIOS;SI;SI
160609;UNIVERSIDAD ALAS PERUANAS S.A.;MAESTRO EN DERECHO CIVIL Y COMERCIAL;SI;SI
160611;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRÍA DERECHO INTERNACIONAL ECONÓMICO- MAESTRÍA EN CIENCIA POLÍTICA;SI;SI
160612;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;GESTION DE ALTA DIRECCION;SI;SI
160613;UNIVERSIDAD PARTICULAR SAN MARTIN DE PORRES;PERIODISMO;SI;SI
160614;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA EN EDUCACION SUPERIOR;SI;SI
160618;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;GERENCIA DE PROYECTOS EMPRESARIALES;SI;SI
160621;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRIA EN SISTEMAS GOBIERNO DE TECNOLOGIAS DE LA INFORMACION;SI;SI
160623;UNIVERSIDAD INCA GARCILASO DE LA VEGA;MAESTRIA EN INVESTIGACION Y DOCENCIA UNIVERSITARIA;;NO
160624;UNIVERSIDAD INCA GARCILASO DE LA VEGA;GOBERNABILIDAD;SI;SI
160626;UNIVERSIDAD JOSE CARLOS MARIATEGUI;DERECHOCONSTITUCIONAL Y DERECHO PENAL;SI;SI
160630;UNIVERSIDAD SAN PEDRO DE CHIMBOTE;DERECHO PENAL CON MENCION EN LITIGACION ORAL;SI;SI
160632;UNIVERSIDAD NACIONAL DE INGENIERIA;HIGIENE OCUPACIONAL;;NO
159889;UNIVERSIDAD DE CIENCIAS APLICADAS;GESTION PUBLICA;SI;
159891;UNIVERSIDAD DE LIMA;MAESTRIA EN DERECHO EMPRESARIAL;SI;SI
159893;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;GESTION PUBLICA;SI;SI
159894;UNIVERSIDAD  PRIVADA CESAR VALLEJO;GESTION PUBLICA;SI;SI
159895;SAN MARTIN DE PORRES;CIENCIAS PENALES;SI;SI
159896;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;CIENCIA POLITICA - GESTIÓN PUBLICA Y POLÍTICAS PUBLICAS;SI;SI
159898;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRÍA EN GOBIERNO Y GESTIÓN PUBLICA;;NO
159899;FEDERICO VILLARREAL;MAESTRIA EN DERECHO;SI;
159900;CENTRO DE ALTOS ESTUDIOS NACIONALES (CAEN);GESTION PUBLICA;SI;SI
159903;UNIVERSIDAD ESAN;MAESTRIA EN GESTION PUBLICA;SI;SI
159904;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;DERECHO ADMINISTRATIVO Y GESTION PUBLICA;SI;SI
159905;ALAS PERUANAS;MAESTRIA EN SALUD OCUPACIONAL;SI;SI
159910;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;;NO
159916;UNIVERSIDAD SAN MARCOS;CIENCIAS PENALES;SI;SI
159918;U.N. ENRIQUE GUZMAN Y VALLE;EDUCACION AMBIENTAL Y DESARROLLO SOSTENIBLE;SI;SI
159923;ESCUELA DE POSTGRADO UNIVERSIDAD TECNOLÓGICA DEL PERU;MAESTRÍA EN MARKETING Y GESTIÓN COMERCIAL;;NO
161412;UNIVERSIDAD DE PENNSYLVANIA, ESCUELA DE NEGOCIOS WHARTON;INVESTIGACIÓN OPERACIONAL Y CIENCIAS DE LOS SISTEMAS SOCIALES;SI;SI
161413;YALE UNIVERSITY;LL.M MASTER IN LAW;SI;SI
161414;UNIVERSIDAD DE LIMA;MAESTRÍA EN ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
161416;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;COMUNICACIÓN;SI;SI
161417;UNIVERSIDAD DE BARCELONA;PLANIFICACIÓN TERRITORIAL Y GESTIÓN AMBIENTAL;SI;SI
161418;CAMBRIDGE UNIVERSITY;RELACIONES INTERNACIONALES;SI;SI
161419;UNIVERSIDAD CATÓLICA DE LOVAINA BÉLGICA;FILOSOFÍA;SI;SI
