ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159690;INSTITUTO ARGENTINO;SECRETARIA EGECUTIVO;SI
159694;CESCA;CONTABILIAD;NO
159699;CFTM UNI;MANTENIMIENTO DE EQUIPO PESADO;SI
160518;INSTITUTO SAN IGNACIO DE LOYOLA - ISIL;DISEÑO GRAFICO PUBLICITARIO EMPRESARIAL;NO
160526;INSTITUTO SUPERIOR TECNOLÓGICO IDAT;NEGOCIOS INTERNACIONALES;NO
160531;FREDERICK WILSON TAYLOR;CONTABILIDAD;SI
160531;FREDERICK WILSON TAYLOR;CONTABILIDAD;SI
160537;COLUMBIA;TRIPULANTE ABORDO Y COUNTER;SI
160543;INSTITUTO SISE;COMPUTACION E INFORMATICA;NO
160544;ADV-PERU;MERCADOTECNIA;SI
158373;ITP LA FLORIDA DEL INCA;TECNICA EN FARMACIA;SI
158375;ISTP CATALINA BUEN DIA DE PECHO;EP ADMINISTRACIÓN DE EMPRESAS;SI
158377;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;TECNICO EN COMUNICACIONES;SI
158382;IST SIMÓN BOLÍVAR;ELECTRONICA;SI
160605;ICPNA;INGLES BÁSICO;SI
160615;ESCUELA DE CAPACITACIÓN ADUANERA;TÉCNICA ADUANERA;SI
160623;ISTP LUIS NEGREIROS VEGA;ELECTRONICA;NO
160628;INSTITUTO SUPERIOR TECNOLÓGICO SANTA ROSA;ENFERMERIA TECNICA;SI
159906;ICPNA;INGLES;SI
159912;INSTITUTO SUPERIOR TECNOLÓGICO VILLA MARIA;COMPUTACION E INFORMATICA;SI
159919;ESCUELA SUPERIOR DE EDUCACION PROFESIONAL MARIA ROSALIA ANTON ARAOZ;DIPLOMADO EN ADMINISTRACIÓN;SI
159920;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PRIVADO PERUANO DE SISTEMAS SISE;TECNICO EN ADMINISTRACION DE NEGOCIO;SI
161430;UNIDAD DE CAPACITACIÓN PRODUCCIÓN Y SERVICIOS DE LA UNIVERSIDAD NACIONAL SAN AGUSTÍN DE AREQUIPA;ASISTENTE ADMINISTRATIVO Y DE GERENCIA;SI
161440;ESCUELA NACIONAL DE ADUANAS- INDESTA (SUNAT);CURSO DE FORMACIÓN DE AGENTES PROFESIONALES DE ADUANA;SI
161441;INSTITUTO SUPERIOR TECNOLÓGICO TÚPAC AMARU - ISTTA DE CUSCO;CONTABILIDAD;SI
161196;INSTITUTO EUROPEO DE ESTUDIOS EMPRESARIALES (ESPAÑA);TÉCNICO SUPERIOR EN DESARROLLO LOCAL;SI
161203;CEPEA;CIENCIAS DE LA COMUNICACION;SI
161206;CENFOTUR;COUNTER DE AVIACIÓN Y TURISMO;SI
161213;CENECAPE METROPOLITANO;ELECTRÓNICA;SI
161215;IDAT;COMERCIO EXTERIOR;SI
161216;C T E JESUS OBRERO;MECANICA;SI
161219;CARLOS CUETO FERNADI;ADMINISTRACIÓN;SI
161226;INSTITUTO INCA GARCILASO DE LA VEGA;ADMINISTRACIÓN;NO
161227;ESCUELA MILITAR DE CHORRILLOS;LICENCIADO EN CIENCIAS MILITARES;SI
160245;ICPNA;INGLES;NO
160256;SENATI;ADMINISTRACION INDUSTRIAL;SI
160260;EIGER;COMPUTACION;SI
160263;INSTITUTO DE ESDUCACION SUPERIOR TECNOLOGICO NAVAL - CITEN;SUB OFICIAL DE MAR;SI
160264;INSTITUTO SUPERIOR SISE;CAJERO BANCARIO;SI
160273;LICEO COMERCIAL DEL PERU;CONTADOR MERCANTIL;SI
160274;CETPRO - CARABAYLLO;COMPUTACION E INFORMATICA;NO
159246;BRITISH SECRETARIAL ACADEMY;SECRETARIADO EJECUTIVO BILINGUE;SI
159247;BONDURANT SCHOOL;PILOTO PROFESIONAL DE CARRERAS;SI
159254;CENECAPE JOSE FAUSTINO SANCHEZ CARRION;SECRETARIADO EJECUTIVO BILINGUE;SI
159255;INSTITUTO PERUANO DE ADMINISTRACIÓN DE EMPRESAS - IPAE;ADMINISTRACIÓN;NO
159257;IDAT;COMPUTACIÓN E INFORMÁTICA;SI
159260;INSTITUTO SUPERIOR TECNOLOGICO PRIVADO CESCA;COMPUTACIÓN E INFORMÁTICA;SI
159271;INSTITUTO SUPERIOR TECNOLOGICO PRIVADO "PERUANO ALEMAN";TECNICAS EN LABORATORIO CLINICO;SI
159275;UNI;TECNICO EN WINDOWS;SI
160884;INSTITUTO SUPERIOR DE PERIODISMO JAIME BAUZATE Y MEZA;PERIODISMO;SI
160886;ESCUELA INTERNACIONAL DE GERENCIA;COMPUTACION E INFORMATICA;SI
160890;INSTITUTO SUPERIOR TECNOLOGICO SANTA ROSA;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;SI
159939;GOLD COAST SCHOOL;REAL ESTATE BROKER;SI
159950;SIDEM;OFIMATICA;SI
159955;INSTITUTO SISE;CIENCIAS PUBLICITARIAS;SI
159961;CEO VIRGEN DE LA MERCEDES LA MOLINA;SECRETARIA COMERCIAL COMPUTARIZADO;SI
161034;ESCUELA MILITAR DE CHORRILLOS;CIENCIAS MILITARES;SI
161034;ESCUELA MILITAR DE CHORRILLOS;CIENCIAS MILITARES;SI
161037;INSTITUTO SUPERIOR TECNOLÓGICO CARLOS CUETO FERNANDINI;ELECTRÓNICA;NO
161040;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PRIVADO MEGATRONIC;PROFESIONAL TÉCNICO EN PERIODISMO;SI
161054;INSTITUTO SUPERIOR TECNOLÓGICO SAN VICENTE;ADMINISTRACIÓN DE EMPRESAS;SI
161056;COMUNICADORES ASOCIADOS;PRODUCCIÓN DE RADIO Y TELEVISIÓN;SI
161061;JOHN HOPKINS;ESPECIALISTA EN PODOLOGÍA;SI
161064;INSTITUTO DE FORMACIÓN Y ASESORAMIENTO PROFESIONAL INFAP NOTRE DAME;PROFESIONAL TÉCNICO EN ADMINISTRACIÓN;SI
160355;INSTITUTO SUPERIOR TECNOLOGICO SAN IGNACIO DE LOYOLA;ESPECIALIDAD EN BANCA;SI
160361;ULADECH;CONTADOR PUBLICO;SI
160367;CESCA;COMPUTACION E INFORMATICA;SI
160372;VICTOR LARCO HERRERA;LABORATORIO CLINICO;SI
160373;CESCA;TÉCNICO ADMINISTRADOR D EMPRESA;NO
160375;INST TELESUP;TELECOMUNICACIONES;NO
160384;CEO NUCLEAR;AUXILIAR D OFICINA;SI
160389;INSTITUTO HUANCAYO;ENFERMERIA TECNICA;SI
160818;SENATI;MECANICO DE TALLER;SI
160821;ABACCO;DISEÑO GRÁFICO;SI
160822;CETPRO NUESTRA SEÑORA DE GUADALUPE;MODULO OPERATIVIDAD DE MAQUINAS DE CONFECCIÓN;SI
160832;INSTITUTO JESUS NAZARETH;PROFESOR;SI
160835;CICEX;INGLES TECNICO;NO
159838;THE GEORGE WASHINGTON UNIVERSITY;ESTRATEGIAS DE CAMPAÑAS ELECTORALES;SI
159839;INSTITUTO NACIONAL DE COMERCIO N° 52;CONTABILIDAD;SI
159849;INSTITUTO SUPERIOR TECNOLÓGICO FEDERICO VILLARREAL;SECRETARIADO EJECUTIVO;SI
159852;ADB PERU;MARKETING;NO
159857;TUSAN;EDUCACION INICIAL;SI
159860;IE CORDON BLEU;GESTIÓN DE RESTAURANT;SI
158727;ACADEMIA ELA;SECRETARIADO EJECUTIVO;SI
158733;ICPNA;INGLES;NO
158736;INSTITUTO DE EDUCACIÓN SUPERIOR;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA;SI
158744;CETPRO JUANA IRIS C;AUXILIAR DE CONTABILIDAD;SI
158746;FUERZA AEREA DEL PERU;ESPECIALISTA DE ABASTECIMIENTO;SI
158748;INSTITUTO NACIONAL PENITENCIARIO;CIENCIAS DE LAS COMUNICACIONES;SI
158749;ISIL;ADMINISTRACION DE NEGOCIOS INTERNACIONALES;SI
158751;CEPEA;ENFERMERÍA TÉCNICA;SI
158752;JUAN XXIII;EDUCACION PRIMARIA;SI
158755;INSTITUTO DE FORMACION BANCARIA;ADMINISTRACION DE EMPRESAS;SI
