ID_CANDIDATO;CENTRO_TRABAJO;OCUPACION;DESDE;HASTA
160516;CONGRESO DE LA REPÚBLICA DEL PERÚ;ASESORA;2016;2019
160516;CONGRESO DE LA REPÚBLICA DEL PERÚ;CONGRESISTA;2011;2016
160516;ASOCIACIÓN UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;DOCENTE;2007;2019
160516;CONGRESO DE LA REPÚBLICA DEL PERÚ;ASESORA;2006;2007
160516;CONGRESO DE LA REPÚBLICA DEL PERÚ;CONGRESISTA;2001;2006
160517;PARLAMENTO ANDINO - CONGRESO DE LA REPÚBLICA;ASESOR;2019;2019
160517;CONGRESO DE LA REPÚBLICA;ASESOR;2018;2019
160517;UNIVERSIDAD SAN MARTÍN DE PORRES;PROFESOR;2016;2019
160517;MUNICIPALIDAD DE JESÚS MARÍA;GERENTE MUNICIPAL;2017;2017
160517;MUNICIPALIDAD DE SAN ISIDRO;GERENTE MUNICIPAL;2013;2014
160518;VALER COLLADO VALERIA CAROLINA;DISEÑO GRÁFICO PUBLICITARIO;2008;2019
160519;CONGRESO DE LA REPUBLICA;JEFE DEL FONDO EDITORIAL;2016;2019
160519;PORTAL WEB POLITICO.PE;DIRECTOR;2014;2019
160519;MINISTERIO DE RELACIONES EXTERIORES;ASESOR DEL CANCILLER;2011;2011
160519;ESTUDIO JURIDICO MARIO CASTILLO FREYRE;INVESTIGADOR - EDITOR;2005;2010
160519;SOCIEDAD NACIONAL DE INDUSTRIAS;ASESOR DEL GERENTE DEL CDI;2005;2007
160520;FUNDACION ANDINA PARA EL DESARROLLO;PRESIDENTE;1995;2019
160521;UNIVERSIDAD NACIONAL AGRARIA - LA MOLINA;DOCENTE UNIVERSITARIO;1974;2018
160523;CONGRESO DE LA REPÚBLICA DEL PERÚ;CONGRESISTA;2016;2019
160523;COMUNIDAD CRISTIANA AGUA VIVA;PASTOR;2012;2016
160523;CONGRESO DE LA REPÚBLICA DEL PERÚ;ASESOR PRINCIPAL;2006;2012
160524;CORPORACIÓN ACME;CONTADOR / DIRECTOR;2014;HASTA LA ACTUALIDAD
160524;ASOCEM;CONTADOR;2016;HASTA LA ACTUALIDAD
160524;CONGRESO DE LA REPÚBLICA;ASESOR;2017;2018
160524;CONGRESO DE LA REPÚBLICA;ASESOR;2011;2012
160524;MUNICIPALIDAD DE SAN ISIDRO;JEFE DE TRÁMITE DOCUMENTARIO;2007;2010
160525;ESTUDIO JURIDICO CARLOS MESIA RAMIREZ (PERSONA NATURAL);ABOGADO;2014;2019
160525;MUNICIPALIDAD DISTRITAL LOS OLIVOS;GERENTE MUNICIPAL;2017;2017
160525;ACADEMIA DE LA MAGISTRATURA;PROFESOR;2017;2018
160525;UNIVERSIDAD SAN MARTIN DE PORRES;DOCENTE UNIVERSITARIO;2015;2018
160525;TRIBUNAL CONSTITUCIONAL;MAGISTRADO;2006;2014
160526;SPECTRA S.A.;GERENTE DE PROYECTOS;2009;2016
160529;IGLESIA BÍBLICA BAUTISTA SAN CARLOS;PASTOR;2015;2019
160529;ARROYO AZURZA, ANA FLOR;ADMINISTRATIVO;2009;2014
160529;HINOSTROZA ARROYO, RUTH STEPHANY;ADMINISTRATIVO;2014;2015
160530;MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO - PNSR;ASESORA DIRECCIÓN EJECUTIVA;2019;2019
160530;AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS;SERVICIO DE MONITOREO A LAS COMISIONES DEL CONGRESO;2018;2018
160530;PRESIDENCIA DEL CONSEJO DE MINISTROS;COORDINADORA PARLAMENTARIA;2017;2017
160530;CONGRESO DE LA REPÚBLICA DEL PERÚ;ASESORA;2012;2017
160530;CONGRESO DE LA REPÚBLICA DEL PERÚ;TECNICO;2011;2011
160531;MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA;ENCARGADA DEL AREA  DE LA MUJER Y DESARROLLO SOCIAL;2014;2018
160531;ASOCIACION CIVIL MISION DE DIOS;PRESIDENTA;2011;2014
160533;CONGRESO DE LA REPUBLICA;TECNICO;2016;2019
160533;MUNICIPALIDAD DE SANTIAGO DE SURCO;RESPONSABLE ACCESO A LA INFORMACION;2015;2016
160533;MUNICIPALIDAD DE SANTIAGO DE SURCO;MATRIMONIO CIVILES;2010;2015
160533;MUNICIPALIDAD DE SANTIAGO DE SURCO;REGIDOR;2010;2010
160533;MUNICIPALIDAD DE SANTIAGO DE SURCO;SERVIDOR ADMINISTRATIVO;2008;2010
160534;CONGRESO DE LA REPUBLICA;TECNICO ST-6;2018;2019
160534;CONGRESO DE LA REPUBLICA;ASISTENTE SA-2;2018;2018
160534;CONGRESO DE LA REPUBLICA;AUXILIAR SA-2;2017;2018
160534;CONGRESO DE LA REPUBLICA;ASISTENTE SA - 2;2016;2017
160534;AST GROUP SAC;CONTROL DE CALIDAD;2015;2016
160535;MERCANTIL INTERAMERICANA SAC;GERENTE POSTVENTA;2008;2019
160535;MINISTERIO DE AGRICULTURA;COORDINADOR UCAD;2004;2004
160535;PROYECTO SUBSECTORIAL DE IRRIGACIÓN;JEFE ZONAL;1998;2004
160535;PROPARACAS GOBIERNO REGIONAL DE ICA;GERENTE OPERACIONES;2007;2007
