ID_CANDIDATO;REMUN_BRUTA_ANUAL_PUBLICA;REMUN_BRUTA_ANUAL_PRIVADA;RENTA_BRUTA_ANUAL_INDIV_PUBLICA;RENTA_BRUTA_ANUAL_INDIV_PRIVADA;OTROS_INGRESOS_ANUALES_PUBLICA;OTROS_INGRESOS_ANUALES_PRIVADA;TOTAL_REMUN_BRUTA_ANUAL;TOTAL_RENTA_BRUTA_ANUAL;TOTAL_OTROS_INGRESOS_ANUALES;TOTAL_GENERAL
160516;245295;16176;0;0;0;0;261471;0;0;261471
160517;117826.06;43945.94;0;222490;0;0;161772;222490;0;384262
160519;250615;0;0;0;0;0;250615;0;0;250615
160520;111747.16;0;0;0;0;0;111747.16;0;0;111747.16
160521;91687;0;0;0;0;0;91687;0;0;91687
160523;364240.8;0;0;0;0;0;364240.8;0;0;364240.8
160524;0;0;85833;184751;0;0;0;270584;0;270584
160525;0;15874;6840;216160;0;0;15874;223000;0;238874
160526;0;0;0;0;0;96000;0;0;96000;96000
160529;0;10920;0;0;0;0;10920;0;0;10920
160530;0;0;36000;0;0;0;0;36000;0;36000
160531;25500;0;0;0;0;0;25500;0;0;25500
160533;97920;0;0;0;0;0;97920;0;0;97920
160534;71791;0;0;2500;0;0;71791;2500;0;74291
160535;0;140000;0;0;0;0;140000;0;0;140000
160536;0;0;0;60000;0;12000;0;60000;12000;72000
160537;0;0;0;17719.27;0;0;0;17719.27;0;17719.27
160539;25500;0;0;0;0;0;25500;0;0;25500
160540;210463.57;0;0;4000;0;0;210463.57;4000;0;214463.57
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160541;51000;0;0;0;0;0;51000;0;0;51000
160542;0;11340;0;0;0;0;11340;0;0;11340
160543;48000;0;0;0;0;0;48000;0;0;48000
160544;0;0;0;38400;0;9600;0;38400;9600;48000
160545;90876.89;0;0;0;0;0;90876.89;0;0;90876.89
160546;0;60000;0;0;0;48000;60000;0;48000;108000
160547;6588;0;20096;0;0;0;6588;20096;0;26684
160548;0;0;0;310242;0;36.9;0;310242;36.9;310278.9
160550;0;12000;0;9000;0;6000;12000;9000;6000;27000
158368;48000;0;0;0;0;0;48000;0;0;48000
158369;52737.340000000004;0;0;0;0;0;52737.34;0;0;52737.34
158370;0;41393;38500;86436;0;0;41393;124936;0;166329
158371;0;14400;0;0;0;0;14400;0;0;14400
158372;16600;25601.23;0;0;0;0;42201.23;0;0;42201.23
158373;0;35000;0;0;0;0;35000;0;0;35000
158374;0;30000;0;22800;0;0;30000;22800;0;52800
158375;0;12000;0;0;0;0;12000;0;0;12000
158376;0;38170;0;0;0;0;38170;0;0;38170
158377;25200;0;0;5000;0;0;25200;5000;0;30200
158378;11265;3400;0;0;0;0;14665;0;0;14665
158379;187200;0;0;0;166606;0;187200;0;166606;353806
158380;41597;0;0;0;0;0;41597;0;0;41597
158381;11000;0;0;34405;0;0;11000;34405;0;45405
158382;0;105658.81;0;0;0;0;105658.81;0;0;105658.81
158383;0;11160;0;9000;0;0;11160;9000;0;20160
158384;26400;0;0;0;6000;0;26400;0;6000;32400
158385;0;6500;0;0;0;0;6500;0;0;6500
158386;104072;0;0;0;0;0;104072;0;0;104072
158387;0;15408;0;0;0;0;15408;0;0;15408
158389;31176;0;0;0;0;0;31176;0;0;31176
158393;22200;0;0;0;0;0;22200;0;0;22200
158395;37902;0;700;4400;0;0;37902;5100;0;43002
158396;0;11400;0;0;0;0;11400;0;0;11400
158397;100800;0;0;0;0;0;100800;0;0;100800
158398;0;18000;0;0;0;0;18000;0;0;18000
158399;0;48000;0;0;0;0;48000;0;0;48000
158400;0;0;0;36000;0;0;0;36000;0;36000
158402;0;0;0;25000;0;0;0;25000;0;25000
158403;118740.28;0;38000;2000;0;0;118740.28;40000;0;158740.28
160597;208953;0;0;0;0;0;208953;0;0;208953
160598;0;85916;0;74231.64;0;0;85916;74231.64;0;160147.64
160599;0;48000;0;210000;0;200;48000;210000;200;258200
160603;33600;0;0;0;0;0;33600;0;0;33600
160604;0;21230;0;0;0;0;21230;0;0;21230
160605;0;1200;0;0;0;0;1200;0;0;1200
160606;3542;0;120588;0;0;0;3542;120588;0;124130
160608;0;0;0;60000;0;0;0;60000;0;60000
160609;146679.76;0;0;0;0;243590;146679.76;0;243590;390269.76
160611;109000.43000000001;0;0;0;0;0;109000.43;0;0;109000.43
160612;21000;5000;0;64000;0;0;26000;64000;0;90000
160613;24000;0;0;0;0;0;24000;0;0;24000
160614;50000;9000;0;42000;0;0;59000;42000;0;101000
160615;0;13300;0;10668;0;0;13300;10668;0;23968
160617;70000;0;0;0;0;0;70000;0;0;70000
160618;0;845;0;0;0;0;845;0;0;845
160620;0;0;0;24000;0;0;0;24000;0;24000
160621;0;0;0;10000;0;0;0;10000;0;10000
160623;0;26400;0;0;0;0;26400;0;0;26400
160624;0;15100;0;0;0;0;15100;0;0;15100
160626;0;0;0;28800;0;0;0;28800;0;28800
160628;0;0;0;10000;0;0;0;10000;0;10000
160630;31200;15000;0;0;0;0;46200;0;0;46200
160631;0;0;0;36000;0;0;0;36000;0;36000
159889;0;0;0;0;0;951310;0;0;951310;951310
159891;0;35450;0;77441;0;0;35450;77441;0;112891
159892;0;0;136562;0;0;71260;0;136562;71260;207822
159893;29700;0;0;0;0;0;29700;0;0;29700
159894;0;0;0;0;0;0;0;0;0;0
