ID_CANDIDATO;TIPO_BIEN;VALOR
159693;CASA;64498.8
159699;PREDIO;11787.36
159699;PREDIO;4394.52
160516;CASA;244840
160516;CASA;94600
160517;COCHERA;49500
160517;DEPARTAMENTO;429000
160517;TERRENO;90160
160520;DEPARTAMENTO;106049.3
160521;DEPARTAMENTO;91145
160521;CASA;125906
160521;TERRENO;155939
160523;CASA;335449.16000000003
160523;CASA;123364.73
160523;ESTACIONAMIENTO;23000
160523;ESTACIONAMIENTO;23000
160524;DEPARTAMENTO;68452
160524;DEPARTAMENTO;173664
160524;ESTACIONAMIENTO;20862
160524;DEPARTAMENTO;57951
160524;ESTACIONAMIENTO;12129
160525;CASA;237007.80000000002
160525;DEPARTAMENTO;87964.28
160525;COCHERA;2566.17
160526;CASA;3300000
160526;CASA;100000
160529;INMUEBLE  - COPROPIETARIO;117637
160531;CASA;127009.11
160533;TERRENO;64000
160533;TERRENO;64000
160535;CASA;373996.17
160536;DEPARTAMENTO;40000
160536;CASA;35000
160537;INMUEBLE;6804
160538;DEPARTAMENTO;122771.32
160538;COCHERA;16847
160538;DEPARTAMENTO;35223.94
160538;COCHERA;1404.76
160538;DEPÓSITO;927.01
160538;COCHERA Y DEPOSITO;4121.82
160540;DEPARTAMENTO;91000
160540;CASA;118000
160540;DEPARTAMENTO;18000
160542;CASA;150000
160542;TERRENO;350000
160542;LOCAL;588647.28
160542;LOCAL;50000
160542;LOCAL;985769.62
160543;TERRENO;30000
160546;CASA;242680.97
160546;LOCAL;543176.18
160547;TERRENO;50000
160548;CASA;865982.5
158370;CASA;150000
158379;DEPARTAMENTO;20000
158381;DEPARTAMENTO;250000
158381;ESTACIONAMIENTO;28000
158385;INMUEBLE;41458.74
158386;VIVINDA;104072
158395;CASA;132504
158395;TERRENO;80000
158396;TERRENO;15000
158397;PREDIO;10000
158400;PREDIO;2000
158400;PREDIO;2000
158403;CASA;102399.7
160597;CASA;218801
160597;CASA;42727
160598;DEPARTAMENTO;179372.33000000002
160598;ESTACIONAMIENTO;36059.78
160598;CASA;178256.05000000002
160598;TERRENO;5000
160599;DEPARTAMENTO;1386525.42
160599;DEPOSITO;14850
160599;ESTACIONAMIENTO;49500
160599;ESTACIONAMIENTO;49500
160599;ESTACIONAMIENTO;8800
160599;CASA;620000
160604;DEPARTAMENTO;106171.79000000001
160604;ESTACIONAMIENTO;4728.39
160605;DEPARTAMENTO;69951
160605;ESTACIONAMIENTO;6101
160606;DEPARTAMENTO;59108.46
160606;ESTACIONAMIENTO;1900.14
160609;CASA;202883.98
160609;LOCAL COMERCIAL;298438.41000000003
160609;OFICINA;233798.42
160609;ESTACIONAMIENTOI;37501.67
160609;TERRENO;22294.28
160609;ESTACIONAMIENTO;1525
160609;ESTACIONAMIENTO;1525
160611;DEPARTAMENTO;154288
160611;DEPARTAMENTO;78710
160611;ESTACIONAMIENTO;16319
160611;ESTACIONAMIENTO;9116
160612;CASA;180000
160614;TERRENO;242000
160624;CASA;76277.8
160628;CASA;49073.49
160628;TERRENO;60000
160628;TERRENO;15000
160630;DEPARTAMENTO;32000
160630;ESTACIONAMIENTO;5000
159889;TERRENO RURAL;74795.77
159889;INMUEBLE;16200
159889;INMUEBLE;101805.8
159891;DEPOSITO 1;7000
159891;DEPOSITO 2;7000
159891;DEPOSITO 3;7000
159891;ESTACIONAMIENTO 3;10000
159891;DEPOSITO 5;10000
159891;DEPARTAMENTO;160000
159891;CASA;160000
159891;CASA;380000
159892;CASA;112317.55
159892;CASA;105712.2
159892;CASA;15600
159893;TERRENO;9311.4
159894;CASA;180000
159895;INMUEBLE;120039.91
159895;INMUEBLE;773303.29
159895;INMUEBLE;52894.64
159895;INMUEBLE;123845.31
159895;INMUEBLE;147609.22
159895;INMUEBLE;129606.63
159896;DEPARTAMENTO;61238.1
159896;ESTACIONAMIENTO;20000
159896;INMUEBLE;10000
159896;INMUEBLE;10000
159897;INMUEBLE;442553.4
159897;INMUEBLE;157651.34
159897;INMUEBLE;215291.59
159897;INMUEBLE;407845.98
159897;INMUEBLE (ESTACIONAMIENTO);12879.61
159897;INMUEBLE;363962.95
159897;INMUEBLE;1771132.27
159897;INMUEBLE (ACCIONES Y DERECHOS);463712.36
159897;INMUEBLE;62463
159897;INMUEBLE;55460
159897;INMUEBLE;51794
159897;INMUEBLE;53204
159897;INMUEBLE;45496
159897;INMUEBLE;184939.49
159897;INMUEBLE;12880
159897;INMUEBLE;9690
159897;INMUEBLE;310270.12
159897;INMUEBLE;824962.96
159897;DERECHOS Y ACCIONES (MINUTA);56575.04
159898;CASA;31852.68
159898;CASA;125812.89
159898;TERRENO;19600
159899;C ASA;126341.76000000001
159900;INMUEBLE;53728.56
159900;INMUEBLE;21450
159901;CASA;553384.87
159902;CASA;123558.15000000001
159902;CASA;111622.77
159903;CASA;137379
159905;CASA;222673.68
159907;INMUEBLE;50000
159908;CASA;53000
159908;CASA;168788.65
159910;CASA;69122.37
159911;CASA;34184.64
159914;TERRENO;60000
159915;TERRENO;19837.350000000002
159916;CASA;42906
159916;CASA;34272
159916;CASA;3690
159916;CASA;87205.93000000001
159916;TERRENO;12000
159916;TERRENO;49229
159916;TERRENO;14488.5
159917;COCHERA;4573.07
159919;CASA;1202400
159919;NICHO;55000
159920;CASA;128188.36
159920;INMUEBLE (SUCESION);933238.15
159922;CASA-COMERCIO;195262.73
161412;ESTACIONAMIENTO;27700.4
161412;ESTACIONAMIENTO;17547.02
161412;ESTACIONAMIENTO;40042.98
161412;ESTACIONAMIENTO;37384.51
161412;OFICINA;444616.74
161412;ESTACIONAMIENTO;12168.36
161412;DEPARTAMENTO;66278.06
161412;CASA;380121.12
161413;CASA;750299
161413;DEPARTAMENTO;228348.22
161413;ESTACIONAMIENTO;33303.94
161413;DEPOSITO;4403.79
161413;DEPOSITO;3956.52
161413;ESTACIONAMIENTO;37509.73
161413;DEPOSITO;6190.4400000000005
161413;DEPOSITO;6011.77
161413;DEPOSITO;5613.56
161413;CASA;30093.690000000002
161413;CASA DE PLAYA;78705.28
161413;DEPARTAMENTO;331066.78
161413;ESTACIONAMIENTO;32319.49
161414;CASA;70000
161414;CASA;352359.02
161414;DEPARTAMENTO;33491.29
161414;CASA;281837.7
161414;TERRENO;100000
161416;INMUEBLE (DEPARTAMENTO);223850.23
161416;INMUEBLE (ESTACIONAMIENTO);29233.5
161416;INMUEBLE (DEPÓSITO);7799.610000000001
161416;INMUEBLE (DEPARTAMENTO);158922.9
161416;INMUEBLE (ESTACIONAMIENTO);16306.87
161417;DEPARTAMENTO;115872.23
161417;ESTACIONAMIENTO;9465.78
161417;AIRES DE DEPARTAMENTO;31533.05
161418;DEPARTAMENTO;304114
161418;ESTACIONAMIENTO;48662
161418;DEPARTAMENTO;152569.71
161418;ESTACIONAMIENTO;12873.29
161418;DEPÓSITO;2724.8
161419;INMUEBLE (CASA);378432.82
161419;INMUEBLE (DEPARTAMENTO);336000
161419;INMUEBLE  (TERRENO);16909
161420;INMUEBLE (CASA HABITACIÓN);399519.84
161420;INMUEBLE (TERRENO);169090.04
161420;INMUEBLE  (TERRENO);338180.07
161420;INMUEBLE (LOCAL COMERCIAL);54100.950000000004
161420;INMUEBLE (CASA HABITACIÓN);453620.23
161421;INMUEBLE;190969.03
161421;INMUEBLE (ESTACIONAMIENTO);18433.65
161421;INMUEBLE (ESTACIONAMIENTO);18433.65
161421;INMUEBLE;2198.75
161424;DEPARTAMENTO;371800
161424;COCHERA;33800
161425;CASA;2197000
161425;CASA;1352000
161425;EDIFICIO;1690000
161427;INMUEBLE;1280000
161427;INMUEBLE;2240000
161428;DEPARTAMENTO;117858.07
161431;INMUEBLE (DEPARTAMENTO);87935.78
161431;INMUEBLE (ESTACIONAMIENTO);2975.69
161431;TERRENO;25000
161433;DEPARTAMENTO;251960
161433;ESTACIONAMIENTO;30000
161435;INMUEBLE;40088.72
161440;DEPARTAMENTO;150000
161440;CASA;900000
161441;INMUEBLE (CASA);158000
161444;DEPARTAMENTO;127000
161444;DEPARTAMENTO;149000
161445;DEPARTAMENTO;72631.46
161445;DEPARTAMENTO;123547.14
161445;ESTACIONAMIENTO;6029.28
161445;DEPARTAMENTO;239386.39
161445;ESTACIONAMIENTO;22854.68
161445;DEPÓSITO;11811.98
161445;TERRENO;4939.650000000001
161192;URBANO;319221
161192;RURAL;112236
161193;ESTACIONAMIENTO;24213.63
161193;DEPARTAMENTO;199721.53
161193;CASA;291909.67
161193;OTROS;12577.720000000001
161193;ESTACIONAMIENTO;11016.06
161193;DEPARTAMENTO;154152.29
161193;TERRENO;545
161194;DEPARTAMENTO;116598.36
161195;LOCAL COMERCIAL;200656.48
161195;ESTACIONAMIENTO;11353.74
161195;ESTACIONAMIENTO;12267.5
161195;ESTACIONAMIENTO;12784.86
161195;DEPARTAMENTO;231522.92
161195;CASA;172289.87
161195;LOCAL COMERCIAL;168664.32
161195;TERRENO;923634.37
161196;CASA;1368000
161199;TERRENO;30000000
161199;TERRENO;30000000
161202;DEPARTAMENTO;300000
161202;ESTACIONAMIENTO;50000
161202;PREDIO URBANO;150000
161202;PREDIO URBANO;150000
161202;PREDIO URBANO;200000
161205;CASA;3142300
161210;CASA;61794.340000000004
161210;CASA;37659.07
161212;PREDIO;21000
161214;CASA;62255
161214;PREDIO AGRICOLA;100000
161217;ESTACIONAMIENTO;14422.83
161217;DEPARTAMENTO;159879.74
161217;ESTACIONAMIENTO;18680.82
161217;ESTACIONAMIENTO;12090
161217;DEPOSITO;4867.63
161217;DEPARTAMENTO;304306.8
161217;DEPARTAMENTO;144444.37
161217;ESTACIONAMIENTO;28763.45
161217;ESTACIONAMIENTO;23593.98
161217;ESTACIONAMIENTO;25510.28
161217;ESTACIONAMIENTO;25510.28
161217;OFICINA;202331.09
161217;OFICINA;202331.09
161218;INMUEBLES;350000
161219;CASA;210000
161220;DEPARTAMENTO;93420.94
161220;ESTACIONAMIENTO;7831.13
161220;DEPARTAMENTO;77941.14
161225;DEPARTAMENTO;54628
160240;CASA;104108.01000000001
160240;CASA;38044.520000000004
160240;DEPARTAMENTO;49078.12
160241;CASA;222688.5
160242;INMUEBLE;360135.06
160244;TERRENO;350000
160246;CASA;143786.95
160246;CASA;179149.97
160246;DEPARTAMENTO;206405.24
160248;TERRENO;1969
160248;TERRENO;2049.6
160251;CASA;97185.66
160251;CASA;96000
160254;OFICINA;33839.04
160254;DEPARTAMENTO;49823.37
160254;CASA;104398
160254;STAND;5367.4400000000005
160254;CASA;50249
160254;CASA;144294.26
160254;CASA;119728.5
160254;CASA;108801.66
160255;CASA;10828.19
160256;TERRENO;3999
160257;CASA;23882.2
160259;CASA;62543.98
160261;CASA;180000
160261;CASA;58142.4
