ID_CANDIDATO;ORGANIZACION_POLITICA;ANIO;FECHA_RENUNCIA
160517;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2013;/Date(-62135578800000)/
160520;CAMBIO 90;1994;/Date(-62135578800000)/
160523;PARTIDO POLÍTICO RESTAURACION NACIONAL;2010;/Date(-62135578800000)/
160524;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2015;/Date(-62135578800000)/
160524;PARTIDO POLÍTICO RENOVACION NACIONAL;2009;/Date(-62135578800000)/
160525;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2019;/Date(-62135578800000)/
160529;PARTIDO POLÍTICO PERU PATRIA SEGURA;2015;/Date(-62135578800000)/
160531;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2014;/Date(-62135578800000)/
160532;RENOVACION NACIONAL;2008;/Date(-62135578800000)/
160533;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2015;/Date(-62135578800000)/
160536;PARTIDO POPULAR CRISTIANO;2014;/Date(-62135578800000)/
160540;PARTIDO POLÍTICO RENOVACION NACIONAL;2009;/Date(-62135578800000)/
160540;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2015;/Date(-62135578800000)/
160550;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;1983;/Date(-62135578800000)/
158372;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
158373;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
158378;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2017;/Date(-62135578800000)/
158379;PARTIDO POLÍTICO PARTIDO MOVIMIENTO HUMANISTA PERUANO;2017;/Date(-62135578800000)/
158379;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2013;/Date(-62135578800000)/
158381;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2013;/Date(-62135578800000)/
158386;ALIANZA ELECTORAL ALIANZA SOLIDARIDAD NACIONAL;2013;/Date(-62135578800000)/
158397;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2014;/Date(-62135578800000)/
158398;PARTIDO POLÍTICO ACCION POPULAR;2019;/Date(-62135578800000)/
158399;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2019;/Date(-62135578800000)/
160609;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2006;/Date(-62135578800000)/
159889;PARTIDO POLÍTICO PERU POSIBLE;2017;/Date(-62135578800000)/
159893;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2010;/Date(-62135578800000)/
159893;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2012;/Date(-62135578800000)/
159894;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2016;/Date(-62135578800000)/
159895;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2012;/Date(-62135578800000)/
159895;PARTIDO POLÍTICO VAMOS PERU;2017;/Date(-62135578800000)/
159896;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2016;/Date(-62135578800000)/
159897;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2014;/Date(-62135578800000)/
159898;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2017;/Date(-62135578800000)/
159900;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
159903;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2011;/Date(-62135578800000)/
159908;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2014;/Date(-62135578800000)/
159908;PARTIDO POLÍTICO PERU PATRIA SEGURA;2015;/Date(-62135578800000)/
159912;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2014;/Date(-62135578800000)/
159916;PARTIDO POLÍTICO PERU PATRIA SEGURA;2019;/Date(-62135578800000)/
161412;PARTIDO POLÍTICO PARTIDO POR LA DEMOCRACIA SOCIAL - COMPROMISO PERU;2007;/Date(-62135578800000)/
161414;PARTIDO POLÍTICO PERU POSIBLE;2015;/Date(-62135578800000)/
161415;PARTIDO POLÍTICO TODOS POR EL PERU;2017;/Date(-62135578800000)/
161417;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2015;/Date(-62135578800000)/
161418;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2015;/Date(-62135578800000)/
161418;PARTIDO POLÍTICO PARTIDO POR LA DEMOCRACIA SOCIAL - COMPROMISO PERU;2006;/Date(-62135578800000)/
161420;PARTIDO POLÍTICO ACCION POPULAR;1983;/Date(-62135578800000)/
161428;PARTIDO POLÍTICO TODOS POR EL PERU;2017;/Date(-62135578800000)/
161431;PARTIDO POLÍTICO PARTIDO DESCENTRALISTA FUERZA SOCIAL;2012;/Date(-62135578800000)/
161431;PARTIDO POLÍTICO TODOS POR EL PERU;2019;/Date(-62135578800000)/
161439;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
161443;PARTIDO POLÍTICO PERU POSIBLE;2017;/Date(-62135578800000)/
161192;PARTIDO POLÍTICO PERU POSIBLE;2014;/Date(-62135578800000)/
161193;PARTIDO POLÍTICO CAMBIO RADICAL;2011;/Date(-62135578800000)/
161193;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2010;/Date(-62135578800000)/
161194;PARTIDO POLÍTICO PERU POSIBLE;2013;/Date(-62135578800000)/
161195;PARTIDO POLÍTICO RESTAURACION NACIONAL;2012;/Date(-62135578800000)/
161200;PARTIDO POLITICO ADELANTE;2012;/Date(-62135578800000)/
161200;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2008;/Date(-62135578800000)/
161202;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2019;/Date(-62135578800000)/
161203;PARTIDO POLÍTICO PERU PATRIA SEGURA;2015;/Date(-62135578800000)/
161204;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2013;/Date(-62135578800000)/
161209;PARTIDO POLÍTICO PERU POSIBLE;2015;/Date(-62135578800000)/
161213;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2019;/Date(-62135578800000)/
161216;PARTIDO POLÍTICO PERU NACION;2019;/Date(-62135578800000)/
161219;PARTIDO POLÍTICO TODOS POR EL PERU;2019;/Date(-62135578800000)/
161226;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2019;/Date(-62135578800000)/
161227;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2015;/Date(-62135578800000)/
161227;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2018;/Date(-62135578800000)/
160240;PARTIDO POLÍTICO PARTIDO DESCENTRALISTA FUERZA SOCIAL;2012;/Date(-62135578800000)/
160241;PARTIDO POLÍTICO TODOS POR EL PERU;2012;/Date(-62135578800000)/
160241;PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO;2007;/Date(-62135578800000)/
160246;PARTIDO POLÍTICO TODOS POR EL PERU;2019;/Date(-62135578800000)/
160247;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2018;/Date(-62135578800000)/
160247;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2015;/Date(-62135578800000)/
160249;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
160253;PARTIDO POLÍTICO UNION POR EL PERU;2010;/Date(-62135578800000)/
160255;PARTIDO POLÍTICO JUNTOS POR EL PERU;2019;/Date(-62135578800000)/
160257;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2019;/Date(-62135578800000)/
160258;PARTIDO POLÍTICO PERU PATRIA SEGURA;2018;/Date(-62135578800000)/
160259;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
160263;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
160268;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
160273;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
159247;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
159251;PARTIDO POLÍTICO CAMBIO RADICAL;2011;/Date(-62135578800000)/
159251;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;2017;/Date(-62135578800000)/
159269;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2016;/Date(-62135578800000)/
160875;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2016;/Date(-62135578800000)/
160875;PARTIDO POLÍTICO TODOS POR EL PERU;2019;/Date(-62135578800000)/
160886;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2013;/Date(-62135578800000)/
160890;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2012;/Date(-62135578800000)/
159932;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2015;/Date(-62135578800000)/
159940;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2014;/Date(-62135578800000)/
159940;PARTIDO POLÍTICO PERU PATRIA SEGURA;2018;/Date(-62135578800000)/
159943;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
159947;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2019;/Date(-62135578800000)/
159956;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
159961;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2017;/Date(-62135578800000)/
161034;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
161037;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2018;/Date(-62135578800000)/
161038;PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL;2017;/Date(-62135578800000)/
161040;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
161041;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;2019;/Date(-62135578800000)/
161041;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
161042;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2019;/Date(-62135578800000)/
161043;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;2019;/Date(-62135578800000)/
161043;PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL;2011;/Date(-62135578800000)/
161044;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
161048;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2014;/Date(-62135578800000)/
161048;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;2019;/Date(-62135578800000)/
161051;PARTIDO POLÍTICO UNION POR EL PERU;2017;/Date(-62135578800000)/
161052;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;2019;/Date(-62135578800000)/
161053;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2016;/Date(-62135578800000)/
161055;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2009;/Date(-62135578800000)/
161058;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2019;/Date(-62135578800000)/
161059;PARTIDO POLÍTICO PERU PATRIA SEGURA;2016;/Date(-62135578800000)/
161059;PARTIDO POLÍTICO ACCION POPULAR;2009;/Date(-62135578800000)/
161060;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2009;/Date(-62135578800000)/
161060;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2019;/Date(-62135578800000)/
161062;PARTIDO POLÍTICO PARTIDO JUSTICIA NACIONAL;2007;/Date(-62135578800000)/
161065;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2018;/Date(-62135578800000)/
161065;PARTIDO POLÍTICO ACCION POPULAR;2019;/Date(-62135578800000)/
161067;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2017;/Date(-62135578800000)/
161068;PARTIDO POLÍTICO CAMBIO RADICAL;2012;/Date(-62135578800000)/
161069;PARTIDO POLÍTICO FRENTE INDEPENDIENTE MORALIZADOR;2005;/Date(-62135578800000)/
160355;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL LA MOLINA HACIA EL GRAN CAMBIO;2011;/Date(-62135578800000)/
160358;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2009;/Date(-62135578800000)/
160366;ALIANZA ELECTORAL ALIANZA SOLIDARIDAD NACIONAL;2015;/Date(-62135578800000)/
160366;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2013;/Date(-62135578800000)/
160370;PARTIDO POLÍTICO EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;2015;/Date(-62135578800000)/
160376;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
160376;PARTIDO POLÍTICO PERU NACION;2018;/Date(-62135578800000)/
160385;PARTIDO POLÍTICO PERU NACION;2019;/Date(-62135578800000)/
160808;PARTIDO POLÍTICO PERU POSIBLE;2004;/Date(-62135578800000)/
160809;PARTIDO POLÍTICO ACCION POPULAR;2015;/Date(-62135578800000)/
160812;PARTIDO POLÍTICO PARTIDO JUSTICIA NACIONAL;2007;/Date(-62135578800000)/
160818;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2012;/Date(-62135578800000)/
160822;PARTIDO POLÍTICO PERU PATRIA SEGURA;2019;/Date(-62135578800000)/
160831;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2013;/Date(-62135578800000)/
160832;PARTIDO POLÍTICO RESTAURACION NACIONAL;2015;/Date(-62135578800000)/
159833;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2015;/Date(-62135578800000)/
159837;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
159837;PARTIDO POLÍTICO UNION POR EL PERU;2019;/Date(-62135578800000)/
159839;PARTIDO POLÍTICO RENOVACION NACIONAL;2010;/Date(-62135578800000)/
159840;MOVIMIENTO REGIONAL O DEPARTAMENTAL CONTIGO CIUDADANO;2018;/Date(-62135578800000)/
159849;PARTIDO POLÍTICO PERU POSIBLE;2016;/Date(-62135578800000)/
159862;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2010;/Date(-62135578800000)/
159864;PERU POSIBLE;2012;/Date(-62135578800000)/
158724;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2008;/Date(-62135578800000)/
158727;PARTIDO POLÍTICO JUNTOS POR EL PERU;2012;/Date(-62135578800000)/
158728;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
158728;PARTIDO POLÍTICO PERUANOS POR EL KAMBIO;2015;/Date(-62135578800000)/
158730;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2006;/Date(-62135578800000)/
158730;MOVIMIENTO REGIONAL O DEPARTAMENTAL RENACIMIENTO UNIDO NACIONAL;2014;/Date(-62135578800000)/
158731;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2019;/Date(-62135578800000)/
158732;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2012;/Date(-62135578800000)/
158739;PARTIDO POLÍTICO CAMBIO RADICAL;2011;/Date(-62135578800000)/
158739;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL CONFIANZA PERU VILLA EL SALVADOR;2014;/Date(-62135578800000)/
158746;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2012;/Date(-62135578800000)/
158746;PARTIDO POLÍTICO PERU PATRIA SEGURA;2015;/Date(-62135578800000)/
158749;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
158751;PARTIDO POLÍTICO PERU POSIBLE;2008;/Date(-62135578800000)/
158751;PARTIDO POLÍTICO TODOS POR EL PERU;2019;/Date(-62135578800000)/
159886;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA REGIONAL;2014;/Date(-62135578800000)/
159888;ALIANZA ELECTORAL ALIANZA PERU POSIBLE;2014;/Date(-62135578800000)/
161270;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2010;/Date(-62135578800000)/
161272;MOVIMIENTO REGIONAL O DEPARTAMENTAL CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA;2012;/Date(-62135578800000)/
159439;PARTIDO POLÍTICO ACCION POPULAR;2019;/Date(-62135578800000)/
161475;PARTIDO POLÍTICO PERU POSIBLE;2012;/Date(-62135578800000)/
161477;PARTIDO POLÍTICO PERU LIBRE;2019;/Date(-62135578800000)/
161477;PARTIDO POLÍTICO UNION POR EL PERU;2014;/Date(-62135578800000)/
161478;PARTIDO POLÍTICO PERU POSIBLE;2006;/Date(-62135578800000)/
161737;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2014;/Date(-62135578800000)/
160074;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2014;/Date(-62135578800000)/
160074;PARTIDO POLÍTICO PERU POSIBLE;2012;/Date(-62135578800000)/
160075;PATRIA JOVEN;2019;/Date(-62135578800000)/
160075;FUERZA REGIONAL;2017;/Date(-62135578800000)/
161238;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;2019;/Date(-62135578800000)/
161241;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2018;/Date(-62135578800000)/
158115;MOVIMIENTO REGIONAL O DEPARTAMENTAL PATRIA JOVEN;2015;/Date(-62135578800000)/
158116;MOVIMIENTO REGIONAL O DEPARTAMENTAL PATRIA JOVEN;2014;/Date(-62135578800000)/
158193;MOVIMIENTO REGIONAL O DEPARTAMENTAL CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA;2012;/Date(-62135578800000)/
158193;PARTIDO POLITICO SIEMPRE UNIDOS;2010;/Date(-62135578800000)/
158195;PARTIDO POLÍTICO RESTAURACION NACIONAL;2019;/Date(-62135578800000)/
158195;PARTIDO POLÍTICO JUNTOS POR EL PERU;2012;/Date(-62135578800000)/
157914;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2019;/Date(-62135578800000)/
158262;MOVIMIENTO INDEPENDIENTE REGIONALISTA AMAZONICO;2019;/Date(-62135578800000)/
160228;FUERZA LORETANA;2006;/Date(-62135578800000)/
160228;PERU POSIBLE;2006;/Date(-62135578800000)/
161184;MOVIMIENTO INTEGRACIÓN LORETANA - MIL;2017;/Date(-62135578800000)/
159431;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
160321;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA LORETANA;2017;/Date(-62135578800000)/
160232;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
161343;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2017;/Date(-62135578800000)/
161344;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2014;/Date(-62135578800000)/
160988;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONALISTA AMAZONICO LORETO;2017;/Date(-62135578800000)/
157916;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2017;/Date(-62135578800000)/
158624;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA POR MADRE DE DIOS;2019;/Date(-62135578800000)/
158624;MOVIMIENTO REGIONAL O DEPARTAMENTAL BLOQUE POPULAR MADRE DE DIOS;2013;/Date(-62135578800000)/
158625;PARTIDO POLÍTICO TODOS POR EL PERU;2017;/Date(-62135578800000)/
158626;PARTIDO POLÍTICO TODOS POR EL PERU;2016;/Date(-62135578800000)/
160637;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL DE MADRE DE DIOS MINEROS UNIDOS;2010;/Date(-62135578800000)/
158618;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2008;/Date(-62135578800000)/
157919;SOMOS PERU;2009;/Date(-62135578800000)/
161351;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
159027;FRENTE AMPLIO POR JUSTICIA VIDA, Y LIBERTAD;2015;/Date(-62135578800000)/
159029;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE NUESTRO ILO-MOQUEGUA;2010;/Date(-62135578800000)/
160774;PARTIDO POLÍTICO PERU POSIBLE;2017;/Date(-62135578800000)/
160674;MOVIMIENTO REGIONAL O DEPARTAMENTAL ALIANZA DEMOCRATICA NACIONAL;2019;/Date(-62135578800000)/
161568;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
159632;PARTIDO POLÍTICO ACCION POPULAR;2019;/Date(-62135578800000)/
160208;MOVIMIENTO REGIONAL O DEPARTAMENTAL KAUSACHUN;2014;/Date(-62135578800000)/
158070;MOVIMIENTO REGIONAL O DEPARTAMENTAL AVANCEMOS POR LA UNIDAD Y LA GRANDEZA;2011;/Date(-62135578800000)/
158070;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL DEMOCRACIA Y SOLIDARIDAD;2011;/Date(-62135578800000)/
161189;PARTIDO APRISTA PERUANO;2009;/Date(-62135578800000)/
158314;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2013;/Date(-62135578800000)/
161470;MOVIMIENTO REGIONAL O DEPARTAMENTAL PASCO DIGNIDAD;2018;/Date(-62135578800000)/
161860;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2019;/Date(-62135578800000)/
161860;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2010;/Date(-62135578800000)/
160699;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2019;/Date(-62135578800000)/
160700;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL OBRAS + OBRAS;2006;/Date(-62135578800000)/
160700;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL ONDAS DEL NORTE;2006;/Date(-62135578800000)/
157924;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2019;/Date(-62135578800000)/
157925;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2017;/Date(-62135578800000)/
157925;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL SEGURIDAD Y PROSPERIDAD;2018;/Date(-62135578800000)/
157926;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2010;/Date(-62135578800000)/
157928;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2013;/Date(-62135578800000)/
157930;MOVIMIENTO REGIONAL O DEPARTAMENTAL REGION PARA TODOS;2019;/Date(-62135578800000)/
159002;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL SEGURIDAD Y PROSPERIDAD;2019;/Date(-62135578800000)/
158237;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2016;/Date(-62135578800000)/
160575;PARTIDO POLÍTICO ACCION POPULAR;2010;/Date(-62135578800000)/
158144;MOVIMIENTO REGIONAL O DEPARTAMENTAL INNOVACION Y DESARROLLO REGIONAL;2015;/Date(-62135578800000)/
158144;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL TRANSFORMEMOS SULLANA;2007;/Date(-62135578800000)/
158147;MOVIMIENTO REGIONAL O DEPARTAMENTAL ALTERNATIVA DE PAZ Y DESARROLLO;2015;/Date(-62135578800000)/
160935;ALIANZA POPULAR REVOLUCIONARIA AMERICANA - APRA;2016;/Date(-62135578800000)/
160936;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;2014;/Date(-62135578800000)/
160936;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNIDAD POPULAR REGIONAL PIURA;2011;/Date(-62135578800000)/
160968;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2013;/Date(-62135578800000)/
160968;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNION DEMOCRATICA DEL NORTE;2015;/Date(-62135578800000)/
159329;AGRUPACIÓN INDEPENDIENTE SI CUMPLE;2007;/Date(-62135578800000)/
158089;MOVIMIENTO REGIONAL O DEPARTAMENTAL ADUANEC;2012;/Date(-62135578800000)/
159282;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;2014;/Date(-62135578800000)/
159499;DEMOCRACIA DIRECTA;2018;/Date(-62135578800000)/
159505;DEMOCRACIA DIRECTA;2019;/Date(-62135578800000)/
158960;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;2015;/Date(-62135578800000)/
161001;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2010;/Date(-62135578800000)/
160758;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2019;/Date(-62135578800000)/
157931;PARTIDO NACIONALISTA PERUANO;2017;/Date(-62135578800000)/
157932;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;2015;/Date(-62135578800000)/
157932;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
157957;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2017;/Date(-62135578800000)/
161079;PARTIDO POLÍTICO PERU POSIBLE;2017;/Date(-62135578800000)/
159194;PARTIDO POLÍTICO ACCION POPULAR;2009;/Date(-62135578800000)/
160576;MOVIMIENTO REGIONAL "PICO" PUNO;2017;/Date(-62135578800000)/
160576;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;2004;/Date(-62135578800000)/
