ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
160729;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO REGIONAL TRANSITORIO;2018;2019
157845;MOVIMIENTO REGIONAL O DEPARTAMENTAL ENERGIA COMUNAL AMAZONICA;SECRETARIO REGIONAL DE POLITICA;2011;2017
157845;MOVIMIENTO REGIONAL O DEPARTAMENTAL ENERGIA COMUNAL AMAZONICA;SECRETARIO REGIONAL PRENSA Y PROPAGANDA;2006;2011
157846;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;SECRETARIA DISTRITAL;2016;2016
160448;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL FUERZA AMAZONENSE;PERSONERO LEGAL;2008;2010
161644;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA DE DICIPLINA DEL COMITE REGIONAL AMAZONAS NORTE - AMAZONAS;2009;2011
160166;ALIANZA ELECTORAL TODOS SOMOS AMAZONAS;PERSONERO LEGAL;2014;2018
159191;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;RESPONSABLE POLÍTICO REGIONAL DE AMAZONAS;2015;2016
158066;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO;PERSONERO LEGAL;2004;2010
158066;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO;SECRETARIO DE ASUNTOS ELECTORALES;2004;2019
158434;PARTIDO POLÍTICO ACCION POPULAR;VICE SECRETARIO DE ORGANIZACION DEL COMITE EJECUTIVO PROVINCIAL TRANSITORIO DEL SANTA;2004;2004
157900;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;SECRETARIA DE LA MUJER DE CARHUAZ;2013;HASTA LA ACTUALIDAD
159453;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO;SECRETARIO DE ECONOMIA;2005;2017
159457;PARTIDO POLÍTICO AGRUPACION INDEPENDIENTE SI CUMPLE;MIEMBRO DEL COMITÉ PROVINCIAL;2005;2007
158440;PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP;SECRETARIO GENERAL DE LA REGIÓN ANCASH;2014;2016
160454;CAMBIO 90;SECRETARIO NACIONAL DE JUVENTUDES;1990;1993
160454;PARTIDO POLÍTICO NUEVA MAYORIA;SECRETARIO DE ORGANIZACIÓN - ANCASH;1994;1996
160456;PARTIDO POLÍTICO FUERZA POPULAR;COORDINADOR REGIONAL ZONA COSTA - ANCASH;2015;2016
159524;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;SECRETARIA DE ORGANIZACIÓN ANDEMA SANTA;1986;1988
159524;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;PRESIDENTA DE  LA COMISIÓN NAVIDAD DEL NIÑO;1998;1998
159525;PARTIDO POLÍTICO PARTIDO JUSTICIA NACIONAL;FUNDADOR;2005;2007
159526;PARTIDO HUMANISTA PERUANO;SECRETARIO GENERAL;2007;2017
159203;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;SECRETARIO GENERAL PROVINCIAL DEL SANTA;2019;HASTA LA ACTUALIDAD
159206;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE NUEVA ESPERANZA REGIONAL ANCASHINA "NUE;MIEMBRO DEL COMITE DEL DEPARTAMENTO DE ANCASH;2005;2011
159386;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA REGIONAL DE ANCASH;2019;HASTA LA ACTUALIDAD
159389;PARTIDO POLÍTICO PARTIDO MORADO;COORDINADOR DE RECURSOS HUMAMOS;2017;2019
159389;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO DE ORGANIZACIÓN;2019;2019
159200;FUERZA POLPULAR;COORDINADOR PROVINCIAL;2016;2016
161599;PARTIDO POLÍTICO PERU LIBRE;SECRETARIO DE ORGANIZACION;2018;2019
160010;PARTIDO POLÍTICO UNION POR EL PERU;MILITANTE;2010;2019
160010;PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO;MILITANTE;2005;2007
160011;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA DISTRITAL DE INDEPENDENCIA;2007;2011
160011;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA REGIONAL DE MUJERES;2012;2013
160012;PARTIDO POLÍTICO FUERZA NACIONAL;MILITANTE;2005;2010
160012;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE RECONSTRUYAMOS ANCASH;MILITANTE;2010;2011
158051;PARTIDO POLÍTICO PERU NACION;COORDINADOR REGIONAL DE ANCASH;2017;HASTA LA ACTUALIDAD
158054;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;MIEMBRO DEL COMITÉ DEL DPTO: ANCASH PROVINCIA HUAYLAS, DISTRITO CARAZ;2005;2017
161015;PARTIDO POLÍTICO PERU POSIBLE;MIEMBRO DEL COMITE;2005;2005
158861;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL ALTERNATIVA CAMPESINA;TESORERIA PROVINCIAL;2006;2006
