ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
158884;IESP TORIBIO RODRIGUEZ DE MENDOZA;DOCENTE;SI
158885;ESCUELA DE POLICIA;POLICIA NACIONAL;SI
160448;ISP BAGUA;EDUCACION PRIMARIA;SI
160794;INSTITUTO SUPERIOR PEDAGÓGICO "CESAR ABRAHAM VALLEJO MENDOZA" - BAGUA;EDUCACIÓN PRIMARIA;SI
160795;INSTITUTO SUPERIOR PEDAGÓGICO "JOSE SANTOS CHOCANO" UTCUBAMBA;EDUCACIÓN INICIAL;
161644;INSTITUTO SUPERIOR PEDADAGOGICO PUBLICO CESAR ABRAHAM VALLEJO MENDOZA;PROFESORA DE EDUCACION PRIMARIA;SI
157962;ISPP TORIBIO RODRIGUEZ DE MENDOZA;EDUCACION PRIMARIA;SI
160784;INSTITO SUPERIOR PEDAGOGICO PUBLICO CESAR ABRAHAM VALLEJO MENDOZA;PROFESOR - MATEMATICO;SI
159457;APECC;CONCILIADORA EXTRAJUDICIAL;SI
159205;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO DE HUARAZ;PROFESOR DE HISTORIA Y GEOGRAFIA;SI
159386;APCTITUD CAPACITACIÓN & DESARROLLO;I DIPLOMADO EN GESTIÓN PÚBLICA;SI
160010;INSTITUTO SUPERIOR PEDAGOGICO DE HUARAZ;DOCENTE DE LENGUA Y LITERATURA;SI
160011;INSTITUTO SUPERIOR PEDAGÓGICO PRIVADO SEÑOR DE LOS MILAGROS;PROFESORA EDUCACIÓN PRIMARIA;SI
158055;IPAE;ADMINISTRACIÓN DE EMPRESA;SI
158235;INSTITUTO SUPERIOR PEDAGOGICO DE CHINCHA;EDUCACION SECUNDARIA - CIENCIA Y TECNOLOGIA;SI
161490;ISP IGNACIO AMADEO RAMOS OLIVERA;EDUCACION FISICA;SI
161027;INSTITUTO SUPERIOR PEDAGÓGICO DE CHIMBOTE;PROFESOR DE EDUCACIÓN SECUNDARIA - MATEMÁTICA;SI
158863;MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS;CONCILIADOR ESPECIALIZADO EN MATERIA DE FAMILIA;SI
161923;AXION TRAING;COACH ONTOLOGICA;
158901;INSTITUTO SUPERIOR PEDAGOGICO JOSE MARIA ARGUEDAS;EDUCACION;SI
160460;INSTITUTO SUPERIOR PEDAGOGICO PRIVADO "RICARDO PALMA" CUSCO;EDUCACIÓN PRIMARIA;SI
161368;INSTITUTO SUPERIOR PEDAGÓGICO JOSÉ MARÍA ARGUEDAS;EDUCACIÓN PRIMARIA;SI
161369;INSTITUTO SUPERIOR PEDAGÓGICO JOSE CARLOS MARIATEGUI TAMBOBAMBA;DOCENTE DE EDUCACIÓN PRIMARIA;SI
159350;ESCUELA NACIONAL DE ADMINISTRACIÓN PÚBLICA ENAP;ESPECIALIZACIÓN EN GESTIÓN PÚBLICA Y DESARROLLO ORGANIZACIONAL;SI
157855;JUAN MANUEL POLAR;SECRETARIADO COMERCIAL;SI
158153;CENTRO DE FORMACIÓN Y CAPACITACIÓN DE CONCILIADORES EXTRAJUDICIALES Y ARBITRAJE "CIEF" - AREQUIPA;CONCILIADOR EXTRAJUDICIAL;SI
158154;IICER;COMPUTACION E INFORMATICA;SI
159516;ESCUELA NORMAL SUPERIOR TORIBIO RODRIGUEZ DE MENDOZA;PROFESOR PRIMARIA;SI
158872;HONORIO DELGADO ESPINOZA;CONCILIADOR EXTRAJUDICIAL;SI
158448;GAMOR;ELECTRONICA;
158834;INSTITUTO SUPERIOR PEDAGÓGICO DE JULIACA;EDUCACIÓN PRIMARIA;SI
158103;AGUSTO SALAZAR BONDY;PROFESOR PRIMARIO;SI
161010;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DIPLOMADO DE ESPECIALIZACIÓN EN GESTION PUBLICA;SI
160346;ASDI;ENGLISH TEACHER;SI
158657;CETPRO SAN PABLO APOSTOL;COMPUTACION E INFORMATICA;SI
158658;INSTITUTO ANDREW PIETOWSKY;ADMINISTRACIÓN DE EMPRESAS;
