ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
160729;UNIVERSIDAD PERUANA UNIÓN;GESTIÓN EDUCATIVA;SI;SI
160730;UNIVERSIDAD CESAR VALLEJO;MAGISTER EN PSICOLOGÍA EDUCATIVA;SI;SI
161340;UNIVERSIDAD INTERNACIONAL IBEROAMERICANA - FUNIBER;MAESTRIA EN GESTION INTEGRADA - MEDIO AMBIENTE CALIDAD Y PREVENCION;;NO
161341;UNIVERSIDAD CESAR VALLEJO - FILIAL LIMA;MAESTRÍA EN GESTIÓN PUBLICA;;NO
159787;UNIVERSIDAD NACIONAL PERO RUIZ GALLO;GERENCIA SOCIAL;SI;SI
158883;UNIVERSIDAD PARTICULAR SAN MARTIN DE PORRES;CIRUGIA GENERAL Y ONCOLOGIA;SI;SI
158885;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA EN DERECHO CIVIL Y COMERCIAL;SI;SI
160794;UNIVERSIDAD CESAR VALLEJO;MAESTRÍA EN GESTIÓN PUBLICA;;NO
161642;UNIVERSIDAD NACIONAL DE TRUJILLO;ORTOPEDIA Y TRAUMATOLOGIA;SI;SI
161644;UNIVERSIDAD CESAR VALLEJO - FILIAL CHICLAYO;GESTION PUBLICA;;NO
157964;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;GINECOLOGIA Y OBSTETRICIA;SI;SI
160165;UNIVERSIDAD DE SIPAN;MAESTRIA EN DERECHO NOTARIAL Y REGISTRAL;SI;SI
160166;UNIVERSIDAD PARTICULAR DE CHICLAYO;DERECHO PENAL Y PROCESAL PENAL;;NO
159406;UNIVERSIDAD PRIVADA CESAR VALLEJO;DOCTOR EN GESTIÓN PUBLICA Y GOBERNABILIDAD;SI;SI
159407;UNIVERSIDAD CATÓLICA DE TRUJILLO;AUDITORIA Y GESTIÓN PUBLICA;;NO
159190;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA;GESTIÓN PUBLICA;SI;SI
159191;UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS;MAESTRÍA EN GESTIÓN PUBLICA;;NO
161236;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;MAESTRO EN CIENCIA DE LA EDUCACION;SI;SI
