ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
157847;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO "PERÚ JAPÓN" - CHACHAPOYAS;LABORATORIO CLINICO;SI
159787;INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO PASCUAL SACO Y OLIVERO;ADMINISTRACIÓN DE EMPRESAS;SI
158437;INSTITUTO SUPERIOR TECNOLOGICO PUBLICO UTCUBAMBA;AGROPECUARIA;SI
160167;INSTITUTO PRIVADO ABACO;COMPUTACION E INFORMATICA;SI
159407;INSTITUTO SUPERIOR TECNOLOGICO ABACO;COMPUTACIÓN E INFORMÁTICA;SI
161237;INSTITUTO TECNOLOGICO PUBLICO GUSTAVO LANATTA LUJAN;TECNICA EN ENFERMERIA;SI
158067;AVANCES;ANALISTA DE SISTEMAS;SI
157898;ISTP RECUAY;TOPOGRAFIA SUPERFICIAL Y MINERA;SI
157901;IST CARLOS SALAZAR ROMERO;ELECTRÓNICA;SI
159457;ABRAHAM VALDELOMAR;SECRETARIADO EJECUTIVO BERLINGUE;SI
160205;INSTITUTO METROPOLITANO;MECANICA AUTOMOTRIZ;SI
158440;CEO CHINBOTR;ELECTRÓNICA;SI
158441;INSTITUTO SAN SAN;CONTABILIDAD;SI
159203;ISP EDUCACION INICIAL;EDUCACION INICIAL;NO
159386;SENATI HUARAZ;OPERADOR DE MICROCOMPUTADORAS;SI
159200;CPA PROPEL;ADMINISTRACIÓN DE EMPRESAS;SI
161599;ESC NORMAL SANCHEZ INFANTE;PROFESOR;SI
158235;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO DE CHINCHA;COMPUTACION E INFORMATICA;SI
158236;SME CENTER;SECRETARIADO;SI
161493;ESCUELA TÉCNICA DEL EJERCITO;SUB OFICIAL DEL EJERCITO;SI
159165;INSTITUTO SUPERIOR TECNOLOGICO PILOTO CARLOS SALAZAR ROMERO;ELECTRICIDAD;SI
160460;CEO PERUANO ZUIZO DE LOS ANDES CUSCO;TÉCNICA EN COMPUTACIÓN;SI
161329;INSTITUTO SUPERIOR TECNOLÓGICO ESTATAL ABANCAY;PRODUCCIÓN AGROPECUARIA;SI
159350;INSTITUTO SUPERIOR TECNOLÓGICO VÍCTOR ALVAREZ HUAPAYA;PROFESIONAL TÉCNICO EN ENFERMERÍA;SI
160171;IPSIPRODA;COMPUTACION E INFORMATICA;SI
157851;INSTITUTO SAN JOSE ORIOL;COMPUTACIÓN E INFORMÁTICA;NO
157855;INSTITUTO PEDRO P DÍAZ;CONTABILIDAD;SI
159519;SENATI;ELECTRICIDAD INDUSTRIAL;NO
158870;INSTITUCION  HONORIO DELGADO;TÉCNICO METALURGISTA;SI
158871;ESEP PEDRO RUIZ;SECRETARIADO EJECUTIVO;SI
158448;INFOUNSA;HARDWARE Y REDES;NO
158449;ESOFAP;MIRAS RADAR Y DISPTUOS ELECTRÓNICOS ESPECIALES;SI
158450;INSTITUTO  SUPERIOR TECNOLOGICO PUBLICO PEDRO P DIAZ;TECNICO AGROPECUARIO;SI
160465;INSTITUTO SUPERIOR PEDRO P DIAZ;TECNICO AGROPECUARIO;SI
160090;INSTITUTO SUPERIOR HONORIO DELGADO;COMPUTACIÓN E INFORMÁTICA;SI
158104;ECAN;CONTABILIDAD;SI
158105;INSTITUTO SUPERIOR HONORIO DELGADO ESPINOZA;QUÍMICA INDUSTRIAL;SI
161011;ACADEMIA DE AVIACIÓN CHALLENGER;AVIACIÓN COMERCIAL Y TURISMO;SI
160914;INSTITUTO SUPERIOR TECNOLÓGICO PRIVADO  IBEROTEC;SISTEMA DE TELECOMUNICACIONES;SI
159228;SENCICO;DECORACIÓN Y FALSOS ACABADOS;NO
159230;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PRIVADO DEL SUR;ADMINISTRACIÓN DE SERVICIOS HOTELEROS;NO
158657;SENATI;MECANICA DE TORNO;SI
158658;INSTITUTO PEDRO P DIAZ;PRODUCCIÓN AGROPECUARIA;NO
158661;SAN JOSE ORIOL;ASISTENTE ADMINISTRATIVO;SI
159719;PEDRO  DIAZ;ELECTRONICA;SI
159720;UNSA;COMPUTACION E INFORMATICA;SI
158516;INSTITUTO SUPERIOR HONORIO DELGADO ESPINOZA;QUIMICO INDUSTRIAL;SI
158519;CEO JUAN MANUEL POLAR;SECRETARIADO;SI
158095;INSTITUTO PEDRO P DIAZ;ELECTRÓNICA;SI
158097;ELIZABETHE STILL KRANKENHAUS;ENFERMERIA;SI
161468;INSTITUTO VICTOR HUAPAYA;ADMINISTRACION;SI
160453;JUAN PABLO II;GASTRONOMIA - BAR;SI
160901;INSTITUTO SUPERIOR TECNOLÓGICO HUANTA;AGROPECUARIA;NO
161158;SEÑATI;MECANICA DE MANTINIMIENTO;NO
161159;INSTITUTO NACIONAL DE COMERCIO N°1 "JUAN MANUEL POLAR" DE AREQUIPA;CONTADOR MERCANTIL;SI
160633;INSTITUTO SUPERIOR TECNOLOGICO  VÍCTOR ALVAREZ HUAPAYA;CONSTRUCCIÓN CIVIL;SI
160678;INSTITUTO SUPERIOR TECNOLÓGICO PRIVADO ABACO;COMPUTACIÓN E INFORMÁTICA;SI
160681;INSTITUTO SUPERIOR TECNOLOGICO 4  DE JUNIO DE  1824 - JAEN;CONTABILIDAD;SI
157862;ICAEM;ADMINISTRACION - PERSONAL -- GERENCIA GENERAL;SI
157863;UNIVERSIDAD DE TRUJILLO;ADMINISTRACION HOTELERA;SI
161315;CEPEA COMPUTRON;OFIMATICA - DISEÑO;SI
161316;SENATI;MECANICO DE MAQUINARIA PESADA;SI
161318;INSTITUTO SUPERIOR DE EDUCACIÓN PÚBLICO BAMBAMARCA;SECRETARIADO EJECUTIVO;NO
159380;UNIVERSIDAD NACIONAL DE CAJAMARCA;GUÍA OFICIAL DE TURISMO;SI
159381;IST 4 DE JUNIO;MECANICA AUTOMOTRIZ;NO
159382;INSTITUTO SUPERIOR PEDAGÓGICO "NUESTRA SEÑORA DE CHOTA";EDUCACION PRIMARIA;SI
160469;REPUBLICA FEDERAL;ELECTRONICA;SI
160473;IESTP CEEOP CAJAMARCA;INDUSTRIAS LACTEAS;NO
159600;IST PRIVADO "SERGIO BERNALES" - CAJAMARCA;ENFERMERIA TECNICA;SI
159601;ESCUELA DE GUÍAS DE TURISMO - FACULTAD DE EDUCACIÓN UNC;GUÍA DE TURISMO;SI
