ID_CANDIDATO;CENTRO_TRABAJO;OCUPACION;DESDE;HASTA
160728;AGRICULTOR INDEPENDIENTE;INGENIERO AGRONOMO;2000;HASTA LA ACTUALIDAD
160729;I.E. MANUEL ANTONIO MESONES MURO;DOCENTE;2014;HASTA LA ACTUALIDAD
160730;CEBE 001 - BAGUA - DIRECTORA (E);LICENCIADA EN PSICOLOGÍA;2015;HASTA LA ACTUALIDAD
157845;INEI - AMAZONAS;COORDINADOR LIDER DE LOCAL;2015;2015
157845;INEI - AMAZONAS;COORDINADOR LOCAL;2015;2015
157845;INEI - AMAZONAS;SUPERVISOR PROVINCIAL ECE-2015;2015;2015
157845;INEI - AMAZONAS;COORDINADOR PROVINCIAL ECE-2016;2016;2016
157845;INDEPENDIENTE;COMUNICACION - PUBLICIDAD;2001;HASTA LA ACTUALIDAD
157846;S&M ASOCIADOS;GERENTE GENERAL;2017;2018
157846;MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES;PROMOTOR LUDICO;2019;HASTA LA ACTUALIDAD
157847;CENTRO DE CONCILIACIÓN BELÉN 01;ASESORA LEGAL;2018;2019
161340;KLOHN CRIPPEN BERGER S.A;INGENIERO CONSULTOR ESPECIALISTA;2018;2019
161341;MUNICIPALIDAD DISTRITAL DE EL MILAGRO;ASESOR EXTERNO;2019;2019
161341;DIRECCION SUB REGIONAL DE TRANSPORTE Y COMUNICACIONES BAGUA - UTCUBAMBA;ANCARGADO DEL ÁREA DE LICENCIAS Y FISCALIZACIÓN;2018;2018
161341;DRECCION DE RED DE SALUD DE BAGUA;JEFE DE LA UNIDAD DE GESTIÓN Y DESARROLLO DE RECURSOS HUMANOS;2018;2018
161341;PODER JUDICIAL LIMA ESTE;ASISTENTE JUDICIAL;2015;2017
161341;PODER JUDICIAL LIMA;ASISTENTE JUDICIAL;2013;2013
159787;MINISTERIO DE CULTURA;SOCIOLOGÍA;2015;HASTA LA ACTUALIDAD
158883;INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS;MEDICO CIRUJANO;2001;HASTA LA ACTUALIDAD
158884;I.E. SEMINARIO JESUS MARIA;DOCENTE;2008;2019
158885;MUNICIPALIDAD DISTRITAL DE DAGUAS;ALCALDE DISTRITAL;2015;2018
158437;DIRECCION REGIONAL AGRARIA AMAZONAS;TECNICO  EXTENSIONISTA;2018;2018
160448;UGEL 303 BAGUA;DOCENTE COORDINADOR;1993;2019
160449;UGEL CONDORCANQUI;DOCENTE;1994;2019
160793;MINISTERIO DE EDUCACION;PROFESOR DE AULA;2011;2019
160794;MINISTERIO DE EDUCACIÓN I.E. N° 16192 - 5 DE JUNIO - BAGUA;PROFESOR DE AULA;1995;2011
160794;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA - AMAZONAS;COORDINADOR ACADÉMICO DEL PROGRAMA PRONAFCAD;2012;2013
160794;UNIVERSIDAD NACIONAL DE TRUJILLO;MONITOR Y ACOMPAÑANTE PEDAGÓGICO;2014;2015
160794;UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE CONDORCANQUI;DIRECTOR GENERAL;2016;2019
161642;ESTABLECIMIENTOS DE SALUD DE LA RED DE SALUD UTCUBAMBA;MEDICO;2002;2019
161643;MUNICIPALIDAD DE CAJARURO;ASESOR LEGAL;2004;2006
161643;MUNICIPALIDAD DISTRITAL DE JAMALCA;ASESOR LEGAL;2003;2006
161643;PODER JUDICIAL;SECRETARIO DE JUZGADO;2019;2019
161643;PODER JUDICIAL AMAZONAS;JUEZ PENAL DE UTCUBAMBA;1999;2001
161643;PODER JUDICIAL;JUEZ DE PAZ LETRADO DE LA PROVINCIA DE UTCUBAMBA;1999;1999
161644;MINISTERIO DE EDUCACION;OBSERVADOR EXTERNO CERTIFICADO;2017;2017
161644;PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES - JUNTOS;CORDINADOR TECNICO TERRITORIAL CONDORCANQUI;2012;2014
161644;PROGRAMA NACIONAL D3E APOYO DIRECTO A LOS MAS POBRES - JUNTOS;CORDINADOR TECNICO TERRITORIAL BAGUA;2015;2015
161644;MIDIS - PRONAA IMACITA;JEFA ZONAL PRONAA IMACITA;2010;2011
157962;MUNICIPALIDAD PROVINCIAL DE LUYA;ALCALDE;2011;2018
157963;RED DE SALUD DE BAGUA;DIRECTORA EJECUTIVA;2019;HASTA LA ACTUALIDAD
157963;RED DE SALUD DE BAGUA;ENFERMERA NIVEL ENF-10;2015;HASTA LA ACTUALIDAD
157963;HOSPITAL DE APOYO BAGUA;DIRECTORA EJECUTIVA;2017;2017
157963;RED DE SALUD DE BAGUA;DIRECTORA EJECUTIVA;2015;2016
157963;RED DE SALUD DE BAGUA;ENFERMERA;2012;2015
157964;HOSPITAL DE CHULUCANAS;MEDICO;2019;HASTA LA ACTUALIDAD
157964;SUB REGION DE SALUD  - MORROPON HUAMCABAMBA;MEDICO;2014;HASTA LA ACTUALIDAD
160165;COFOPRI;ABOGADO - JEFE ZONAL;2017;2019
160166;MUNICIPALIDAD DISTRITAL DE EL CENEPA;ASESOR - CONSULTOR EXTERNO;2019;2019
160166;MUNICIPALIDAD DISTRITAL DE IMAZA;GERENTE MUNICIPAL;2019;2019
160166;PROGRAMA NACIONAL DE EMPLEO JUVENIL  JÓVENES PRODUCTIVOS;JEFE ZONAL;2016;2017
160166;CONGRESO DE LA REPÚBLICA;ASESOR DE CONGRESISTA;2014;2015
160166;MUNICIPALIDAD DISTRITAL DEL PARCO;ASESOR;2013;2014
160167;MUNICIPALIDAD DISTRITAL DE CHACHAPOYAS;RESPONSABLE DEL SOPORTE TECNICO;2016;2016
159406;MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL;ESPECIALISTA TERRITORIAL PCA;2015;2019
159407;GOBIERNO REGIONAL AMAZONAS;ASISTENTE ADMINISTRATIVO;2019;2019
158136;SONIDO STUDIO FATASTICO;PROPIETARIO SONIDISTA;2002;2015
158138;I.E.17343;PROFESOR DE PRIMARIA;2018;2018
159190;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA;ECONOMISTA / DIRECTOR DE PRESUPUESTO;2019;HASTA LA ACTUALIDAD
159190;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA;ECONOMISTA / RESPONSABLE UNIDAD FORMULADORA;2015;2018
159190;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA;ECONOMISTA / DOCENTE UNIVERSITARIO;2013;HASTA LA ACTUALIDAD
159190;GOBIERNO REGIONAL AMAZONAS;ECONOMISTA / CONSULTOR EVALUADOR DE PROYECTOS;2011;2014
159190;DIRECCIÓN REGIONAL DE SALUD AMAZONAS;ECONOMISTA / DIRECTOR DE PRESUPUESTO;2009;2010
