ID_CANDIDATO;REMUN_BRUTA_ANUAL_PUBLICA;REMUN_BRUTA_ANUAL_PRIVADA;RENTA_BRUTA_ANUAL_INDIV_PUBLICA;RENTA_BRUTA_ANUAL_INDIV_PRIVADA;OTROS_INGRESOS_ANUALES_PUBLICA;OTROS_INGRESOS_ANUALES_PRIVADA;TOTAL_REMUN_BRUTA_ANUAL;TOTAL_RENTA_BRUTA_ANUAL;TOTAL_OTROS_INGRESOS_ANUALES;TOTAL_GENERAL
160728;0;0;0;0;0;84000;0;0;84000;84000
160729;40000;0;0;0;0;0;40000;0;0;40000
160730;42000;0;0;0;0;0;42000;0;0;42000
157845;0;0;12000;10000;0;0;0;22000;0;22000
157846;0;0;16800;0;0;0;0;16800;0;16800
157847;0;0;0;30000;0;0;0;30000;0;30000
161340;0;372.79;0;206004.38;0;0;372.79;206004.38;0;206377.17
161341;10000;0;0;0;0;0;10000;0;0;10000
159787;48000;0;0;0;0;0;48000;0;0;48000
158883;55981;5731;0;0;0;0;61712;0;0;61712
158884;25200;0;0;0;0;0;25200;0;0;25200
158885;24000;0;0;0;48000;0;24000;0;48000;72000
158437;0;0;12000;0;0;0;0;12000;0;12000
160448;36201.76;0;0;0;0;0;36201.76;0;0;36201.76
160449;30000;0;0;0;0;0;30000;0;0;30000
160793;36000;0;0;0;0;0;36000;0;0;36000
160794;84000;0;0;0;0;0;84000;0;0;84000
161642;24000;5000;24000;5000;0;0;29000;29000;0;58000
161643;0;32000;0;0;0;0;32000;0;0;32000
157962;13954;0;0;0;0;20000;13954;0;20000;33954
157963;34800;0;10000;0;0;0;34800;10000;0;44800
157964;61300;0;0;0;0;0;61300;0;0;61300
160165;84000;0;0;0;0;0;84000;0;0;84000
160166;0;0;10500;9500;0;0;0;20000;0;20000
160167;0;0;0;25000;0;0;0;25000;0;25000
159406;0;0;72000;0;0;0;0;72000;0;72000
159407;18000;0;0;0;0;0;18000;0;0;18000
158138;28200;0;0;0;0;0;28200;0;0;28200
159190;60000;0;0;5000;0;0;60000;5000;0;65000
159191;0;0;0;32000;0;42000;0;32000;42000;74000
159192;23000;0;0;0;0;0;23000;0;0;23000
161235;0;6000;0;0;0;0;6000;0;0;6000
158066;78000;0;0;120000;0;0;78000;120000;0;198000
158067;9600;0;0;0;0;0;9600;0;0;9600
160782;32000;0;0;0;0;235674;32000;0;235674;267674
160783;0;4050;0;0;0;0;4050;0;0;4050
160784;25560;0;0;0;0;0;25560;0;0;25560
158432;168000;0;0;0;51200;0;168000;0;51200;219200
158433;0;0;2300;3300;0;1500;0;5600;1500;7100
157897;51754;0;0;0;0;217531;51754;0;217531;269285
157898;0;0;11850;0;0;0;0;11850;0;11850
157899;28080;0;0;0;0;0;28080;0;0;28080
157900;11025.960000000001;0;0;0;0;0;11025.96;0;0;11025.96
157901;0;0;0;0;0;49000;0;0;49000;49000
161625;46764;0;0;0;0;0;46764;0;0;46764
159453;0;0;0;33600;0;0;0;33600;0;33600
159455;32000;10000;0;0;0;0;42000;0;0;42000
159456;0;0;0;36000;0;0;0;36000;0;36000
159457;0;0;0;12000;0;5000;0;12000;5000;17000
160201;0;0;0;36000;0;0;0;36000;0;36000
160202;0;0;0;18000;0;14915;0;18000;14915;32915
160203;187200;0;0;0;0;0;187200;0;0;187200
160204;0;0;0;4000;0;0;0;4000;0;4000
160205;0;30800;0;0;0;0;30800;0;0;30800
160455;187200;0;0;0;91406.40000000001;304429.56;187200;0;395835.96;583035.96
160456;169472;0;0;0;0;0;169472;0;0;169472
159524;105672;0;0;0;0;0;105672;0;0;105672
159525;0;13170;0;80080;0;0;13170;80080;0;93250
160663;207722;0;12848;0;0;0;207722;12848;0;220570
160666;0;26000;0;0;0;0;26000;0;0;26000
160664;0;0;0;13000;0;0;0;13000;0;13000
159203;10873.52;0;0;30000;0;0;10873.52;30000;0;40873.52
159205;0;0;3850;24810.4;0;0;0;28660.4;0;28660.4
159206;24750;0;0;0;0;0;24750;0;0;24750
159207;5000;0;0;0;0;0;5000;0;0;5000
159386;0;0;28500;0;0;0;0;28500;0;28500
159388;16800;0;65730.5;0;0;0;16800;65730.5;0;82530.5
159389;0;0;0;0;0;0;0;0;0;0
159390;20070;0;0;0;0;0;20070;0;0;20070
159199;0;0;30000;5000;0;0;0;35000;0;35000
159200;0;11160;0;18000;0;0;11160;18000;0;29160
161599;11614.56;0;0;18000;0;0;11614.56;18000;0;29614.56
161601;82998;0;0;0;0;0;82998;0;0;82998
160008;0;0;0;11831;23460;0;0;11831;23460;35291
160010;86731.96;0;0;0;0;0;86731.96;0;0;86731.96
160011;0;0;0;36000;14040;0;0;36000;14040;50040
160012;0;0;0;9600;0;0;0;9600;0;9600
158051;0;0;30000;25000;0;15000;0;55000;15000;70000
158052;18600;0;0;14000;0;0;18600;14000;0;32600
158053;0;0;0;100000;0;0;0;100000;0;100000
158054;0;0;0;0;0;24000;0;0;24000;24000
158055;12600;0;0;0;0;0;12600;0;0;12600
158232;25000;0;25000;0;0;45800;25000;25000;45800;95800
158234;0;0;24000;10000;0;0;0;34000;0;34000
158235;24000;0;0;36000;0;0;24000;36000;0;60000
158236;0;21300;0;0;0;0;21300;0;0;21300
161014;0;0;0;0;7896;12000;0;0;19896;19896
161015;0;0;0;45130;0;0;0;45130;0;45130
161017;0;0;0;0;0;1100;0;0;1100;1100
161490;0;12460;0;87010;0;0;12460;87010;0;99470
161491;11868.7;0;0;0;0;0;11868.7;0;0;11868.7
161493;24000;0;0;0;0;0;24000;0;0;24000
159164;0;0;42000;0;0;0;0;42000;0;42000
159165;24000;0;0;0;0;0;24000;0;0;24000
159166;0;0;132000;0;0;240000;0;132000;240000;372000
159167;0;50424;0;0;0;0;50424;0;0;50424
159168;18000;0;0;0;0;0;18000;0;0;18000
161026;0;0;9000;20800;0;0;0;29800;0;29800
161027;52200;0;0;0;0;0;52200;0;0;52200
158860;0;0;0;11400;0;0;0;11400;0;11400
158861;60000;0;20000;0;0;0;60000;20000;0;80000
158862;0;48000;0;0;0;0;48000;0;0;48000
158863;0;0;32350;0;0;0;0;32350;0;32350
158864;0;28000;0;0;0;0;28000;0;0;28000
161921;26400;0;12000;0;0;0;26400;12000;0;38400
161923;0;36000;0;0;0;15000;36000;0;15000;51000
157848;90995.64;0;0;1440;0;0;90995.64;1440;0;92435.64
157849;22880;0;0;0;0;0;22880;0;0;22880
157850;0;10000;0;0;0;0;10000;0;0;10000
160692;27394;0;0;2270;0;0;27394;2270;0;29664
160693;0;0;0;0;0;18000;0;0;18000;18000
160293;30000;17000;0;12000;0;0;47000;12000;0;59000
160294;0;0;0;20000;0;0;0;20000;0;20000
158899;14400;0;20000;0;12000;0;14400;20000;12000;46400
158900;0;0;0;3000;0;0;0;3000;0;3000
158901;0;24000;0;0;0;0;24000;0;0;24000
158445;0;0;0;15600;0;0;0;15600;0;15600
158446;0;0;0;18000;0;0;0;18000;0;18000
158447;0;0;0;0;0;0;0;0;0;0
160459;0;0;0;28000;0;0;0;28000;0;28000
160460;0;0;0;10000;0;0;0;10000;0;10000
161328;0;0;0;96000;0;0;0;96000;0;96000
161329;0;0;0;17100;0;0;0;17100;0;17100
161330;14000;0;0;0;0;0;14000;0;0;14000
161291;0;0;0;28000;0;0;0;28000;0;28000
161367;167990;26950;0;2000;0;0;194940;2000;0;196940
161368;14400;0;0;0;0;0;14400;0;0;14400
161369;37000;0;0;0;0;0;37000;0;0;37000
159429;30000;0;0;0;0;0;30000;0;0;30000
159430;0;0;0;50400;0;0;0;50400;0;50400
160282;0;0;24000;0;0;0;0;24000;0;24000
159350;48312;0;0;0;0;0;48312;0;0;48312
158513;0;0;0;19200;0;14400;0;19200;14400;33600
161283;0;0;0;90000;0;15000;0;90000;15000;105000
158361;0;0;0;23500;0;0;0;23500;0;23500
160004;0;0;25000;0;0;0;0;25000;0;25000
160168;0;24000;0;0;0;0;24000;0;0;24000
160169;0;0;0;9080;0;14632;0;9080;14632;23712
160170;0;0;0;1250;0;0;0;1250;0;1250
160171;90112.42;0;0;0;0;0;90112.42;0;0;90112.42
160172;0;0;0;20000;0;0;0;20000;0;20000
160173;0;0;0;60000;0;0;0;60000;0;60000
157851;0;0;10300;0;23400;0;0;10300;23400;33700
157853;0;10920;0;0;0;0;10920;0;0;10920
157855;0;0;0;40000;0;8000;0;40000;8000;48000
157856;17539;0;0;0;0;0;17539;0;0;17539
158153;0;18000;0;0;0;40920;18000;0;40920;58920
158154;29820;0;0;12000;0;19200;29820;12000;19200;61020
158155;0;0;0;15000;0;0;0;15000;0;15000
158156;100944;48863;0;94935;9746;0;149807;94935;9746;254488
159516;0;0;0;18000;0;0;0;18000;0;18000
159518;0;11625;0;0;0;0;11625;0;0;11625
159519;14400;0;0;24000;0;0;14400;24000;0;38400
159520;0;0;0;0;0;32000;0;0;32000;32000
159521;0;0;0;9000;0;0;0;9000;0;9000
158870;0;272545.74;0;0;0;0;272545.74;0;0;272545.74
158871;49802.08;0;0;0;0;0;49802.08;0;0;49802.08
158872;0;0;0;1300;21060;0;0;1300;21060;22360
158873;0;12000;0;0;0;0;12000;0;0;12000
158874;70000;0;0;0;0;0;70000;0;0;70000
158875;0;0;0;242309;0;0;0;242309;0;242309
160462;0;27600;0;0;0;30000;27600;0;30000;57600
160463;14000;20000;0;7000;0;0;34000;7000;0;41000
160464;14000;0;0;0;0;0;14000;0;0;14000
160465;0;37800;0;0;0;0;37800;0;0;37800
160466;32568;0;0;0;0;0;32568;0;0;32568
160467;0;34000;0;510;0;18990;34000;510;18990;53500
158829;0;5580;0;0;0;0;5580;0;0;5580
