ID_CANDIDATO;TIPO_BIEN;VALOR
160728;INMUEBLE;400000
160728;PREDIO RURAL;80000
160728;INMUEBLE;100000
160728;INMUEBLE;40000
160728;PREDIO RURAL;160000
160728;PREDIO RURAL;280000
160728;INMUEBLE;350000
160729;INMUEBLE;40000
160730;INMUEBLE;150000
160730;INMUEBLE;500000
160730;INMUEBLE;80000
160730;INMUEBLE;120000
160730;INMUEBLE;120000
160730;INMUEBLE;90000
160730;INMUEBLE;120000
161340;CASA;145000
161340;PARCELA;55000
161340;PARCELA;42000
158883;DEPARTAMENTO;45388.700000000004
158883;DEPARTAMENTO;118545.58
158883;ESTACIONAMIENTO;13750.18
158883;ESTACIONAMIENTO;11668.85
158884;CASA;40000
158884;CASA;100000
158885;CASA;300000
158885;CASA;150000
158885;TERRENO CON CASA;300000
158438;CASA  HABITACION;120000
158438;TERRENO;50000
160448;CASA;35000
160448;CASA;32000
160448;TERRENO;65000
160449;TERRENO;100000
160793;TERRENO;10000
157962;CASA;380000
157963;CASA EN CONSTRUCCION;31000
157964;CASA;124320
157964;DEPARTAMENTO;450000
160165;HIPOTECADO;0
160166;PROPIO;25000
160166;TERRENO;30000
159406;TERRENO;0
159406;TERRENO;0
159406;TERRENO;0
158136;CASA;80000
158138;SOLAR;100000
158138;CASA;20000
159191;CASA;18235.04
161236;TERRENO;32000
158066;DEPARTAMENTO;78432
158066;DPTO;194836
158066;CASA;180000
158066;TERRENO;50000
158066;TERRENO;50000
158066;TERRENO;15000
158066;TERRENO;90000
158066;ESTACIONAMIENTO;12000
158066;DEPOSITO;10000
158066;ESTACIONAMIENTO;12000
160782;CASA;219519
160782;DEPARTAMENTO;301500
160782;DEPARTAMENTO;301500
160782;DEPARTAMENTO;301500
160782;DEPARTAMENTO;301500
160782;DEPARTAMENTO;301500
160782;DEPARTAMENTO;301500
160782;PARCELA;87000
160782;PARCELA;9000
160782;PARCELA;3000
160784;CASA;120000
158432;INMUEBLE;253577.21
158432;INMUEBLE;18000
158432;INMUEBLE;10000
158433;INMUEBLES;75584.31
158433;INMUEBLE;5000
158433;INMUEBLE;5000
158433;INMUEBLE;5000
158433;INMUEBLE;14569.66
158433;INMUEBLE;9763.36
158433;INMUEBLE;14569.66
158434;INMUEBLE;410463
157897;URBANO;105491.12
157897;RURAL;622048.1900000001
157897;RURAL;105491.12
157897;URBANO;6930
157897;URBANO;6930
157897;URBANO;35230
157897;URBANO;206132.76
157897;URBANO;67976.49
157900;A;176400
157900;A;126336.52
157900;A;176400
157901;LOTE;7000
157901;LOTE;7000
157901;LOTE;40000
159455;INMUEBLE;1500
159455;INMUEBLE;3000
159456;CASA;150000
159457;VIVIENDA;95758.42
160203;CASA;30000
160203;TERRENO;10000
160203;DEPARTAMENTO;15000
160203;DEPARTAMENTO;85000
160203;AYACUCHO;30000
160455;CASA;273602.13
160455;TERRENO;60542.97
160455;COMERCIO 33 POR CIENTO;175145.95
160455;PARCELA 33 POR CIENTO;4830.06
160455;PARCELA 33 POR CIENTO;9660.11
160455;PARCELA 33 POR CIENTO;4830.06
160455;HABITACION;37797.3
160455;HABITACION;103625.93000000001
160455;OFICINA;30551.41
160455;DEPARTAMENTO;124585.96
160455;ESTACIONAMIENTO;18020.98
160455;DEPOSITO;7215.77
160456;CASA;148411.41
160456;LOCAL;348680
159524;INMUEBLE;145658
159524;INMUEBLE;116000
159526;INMUEBLE;265029.26
160664;PREDIO;2198
159203;DEPARTAMENTO;123845.56
159203;CASA;121256.63
159203;OFICINA;8235.31
159203;ESTACIONAMIENTO;12106.32
159203;OTROS;175913.32
159203;CASA;149215.37
159203;CASA;172856.89
159203;OTROS;25194.04
159205;CASA;6000
159388;TERRENO;200
159390;TERRENO;41000
159199;EMPRESA;0
159200;INMUEBLE;150
161601;CASA;190000
160010;INMUEBLE;35000
160011;CASA;67
158051;PROPIEDAD INMUEBLE;460
158051;PROPIEDAD INMUEBLE;460
158051;APARTAMENTO;460
158232;INMUEBLE;68000
158236;INMUEBLE;5000
161015;DEPARTAMENTO;106295
161015;CASA;93795
161015;TERRENO;93795
161015;DEPARTAMENTO;47072
161490;COCHERA;0
161490;DEPARTAMENTO;410427
161490;DEPOSITO;0
161490;CASA;109761.12
159164;TERRENO;90000
159164;TERRENO;90000
159165;INMUEBLE;250000
159165;INMUEBLE;3572.9900000000002
159165;INMUEBLE;41179.270000000004
159166;TERRENO AGRICOLA;20000
159166;CASA;127404
159166;CASA;40000
159168;TERRENO;150000
161028;VIVIENDA;17900.4
158861;CASA;130000
158861;TERRENO;60000
158863;CHACRA;4500
161921;CASA;23
157848;TERRENO;145354.47
157849;INMUEBLE;5000
157849;INMUEBLE;10000
158900;CASA;1000
158447;CASA;20000
160459;TERRENO;189360
160459;TERRENO;15000
160459;TERRENO;27000
160459;TERRENO;45000
160459;TERRENO;38000
160459;TERRENO;32000
160460;CASA;230000
161329;VIVIENDA;240000
161329;VIVIENDA COPROPIEDAD INDIVISA;150000
161330;VIVIENDA;250000
161291;TERRENO;10000
161367;TERRENO;500
161367;PREDIO URBANO;300
161367;CASA;3500
161367;TERRENO;500
161368;CASA;834
161369;CASA;80000
159350;CASA;29534
159350;CASA;212236
159350;TERRENO;1402
159350;TERRENO;1175
158513;INMUEBLE;12500
161283;VIVIENDA;50000
161283;VIVIENDA;200000
160168;DEPARTAMENTO;50000
160169;INMUEBLE;119800.32
