ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
159699;UNIVERSIDAD PRIVADA DEL NORTE;INGENIERIA CIVIL;SI;SI;
160516;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
160517;FEDERICO VILLARREAL;DERECHO;SI;SI;SI
160518;UNIVERSIDAD DE LIMA;DERECHO;NO;;
160519;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;SI;SI;SI
160520;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;CIENCIAS BIOLOGICAS;SI;SI;SI
160521;UNIVERSIDAD NACIONAL AGRARIA - LA MOLINA;CIENCIAS AGRARIAS  - AGRONOMIA;SI;SI;NO
160523;INCA GARCILASO DE LA VEGA;ECONOMÍA;SI;SI;SI
160524;INCA GARCILASO DE LA VEGA;CONTABILIDAD;SI;SI;SI
160525;UNIVERSIDAD PARTICULAR SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
160526;ADOLFO IBAÑEZ EN CHILE;INGENIERIA COMERCIAL;SI;;SI
160530;UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA - UNIVERSIDAD PARTICULAR DE IQUITOS;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
160533;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLITICAS;SI;SI;NO
160534;JAIME BAUSATE Y MEZA;PERIODISMO;SI;SI;SI
160535;UNIVERSIDAD SAN LUIS GONZAGA DE ICA;INGENIERO PESQUERO;SI;SI;SI
160536;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DERECHO;SI;SI;SI
160537;UNIVERSIDAD PRIVADA SAN PEDRO DE CHIMBOTE;ABOGADA;SI;SI;SI
160538;UNIVERSIDAD  SAN MARTÍN DE PORRES;DERECHO Y CIENCIAS POLITICAS;SI;SI;NO
160538;UNIVERSIDAD SEMINARIO SANTO TORIBIO;FILOSOFÍA;NO;NO;NO
160539;UNIVERSIDAD SAN MARTIN DE PORRES;RELACIONES INDUSTRIALES;SI;SI;NO
160539;UNIVERSIDAD PARTICULAR SAN JUAN BAUTISTA;DERECHO;NO;NO;NO
160540;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
160541;SAN MARTIN DE PORRES;PSICOLOGIA;SI;;SI
160542;UNIVERSIDAD SAN MARTÍN DE PORRES;EDUCACIÓN;NO;NO;NO
160543;CESAR VALLEJO;ADMINISTRACION;NO;NO;NO
160544;UNMSM - SAN MARCOS;EDUCACION;SI;SI;SI
160544;UNMSM - SAN MARCOS;EDUCACION;SI;SI;SI
160545;UNIVERSIDAD CIENTÍFICA DEL SUR;INGENIERÍA ECONÓMICA Y DE NEGOCIOS;SI;SI;NO
