ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
160516;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2011;2016
160516;OTRO;CONGRESISTA DE LA REPÚBLICA;2001;2006
160520;CAMBIO 90;DIPUTADO;1990;1992
160523;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
160524;ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2003;2006
160524;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
160533;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2010;2010
160535;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR DISTRITAL;2003;2006
160536;PARTIDO POPULAR CRISTIANO;REGIDOR DISTRITAL;2011;2014
160540;ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2003;2006
160540;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
160547;PARTIDO POLÍTICO FUERZA POPULAR;REGIDOR DISTRITAL;2018;2018
158370;ALIANZA ELECTORAL IZQUIERDA UNIDA;REGIDOR PROVINCIAL;1987;1989
158379;GANA PERÚ;CONGRESISTA DE LA REPÚBLICA;2013;2016
158379;FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;CONGRESISTA DE LA REPÚBLICA;2016;2017
158380;ALIANZA ELECTORAL IZQUIERDA UNIDA;REGIDOR DISTRITAL;1983;1985
158385;ALIANZA ELECTORAL IZQUIERDA UNIDA;REGIDOR DISTRITAL;1987;1989
158386;ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2007;2010
158400;UNIDOS POR CANTA;ALCALDE PROVINCIAL;1999;2002
160597;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONGRESISTA DE LA REPÚBLICA;2001;2019
160598;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONGRESISTA DE LA REPÚBLICA;2006;2011
160608;PARTIDO POLITICO PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;2007;2010
160609;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;2003;2006
160609;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;1987;1989
160614;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REPRESENTANTE ANTE EL PARLAMENTO ANDINO;2006;2011
160617;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR PROVINCIAL;1980;1983
160617;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;DIPUTADO;1985;1990
159889;PARTIDO POLÍTICO PERU POSIBLE;ALCALDE DISTRITAL;2003;2010
159889;PARTIDO POLÍTICO PERU POSIBLE;CONGRESISTA DE LA REPÚBLICA;2011;2016
159893;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2003;2006
159893;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2007;2010
159894;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;REGIDOR DISTRITAL;2015;2019
159894;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR DISTRITAL;2011;2014
159895;ALIANZA ELECTORAL UNIDAD NACIONAL;ALCALDE DISTRITAL;2007;2010
