ID_CANDIDATO;BIEN;VALOR
159691;JS VEH AUTO MENOR;13500
159691;MOTO LINEAL;2245
159695;MOTOCICLETA;1500
159696;STATION WAGON;15000
159696;AUTO;2000
159699;AUTO;15000
159699;MOTO LINEAL;10000
160516;CAMIONETA;52000
160516;CAMIONETA;60000
160516;CAMIONETA;6000
160516;MOTO;500
160517;CAMIONETA;63980.82
160517;AUTO;35420
160517;AUTO;3600
160517;AUTO;4500
160518;CAMIONETA;67000
160518;AUTO;1675
160520;AUTOMOVIL;10000
160520;CAMIONETA SUV;49000
160520;AUTOMOVIL;3300
160521;AUTO;6000
160521;AUTO;41250
160523;AUTO;69010
160523;CAMIONETA;94805
160523;CAMIONETA;23450
160523;AUTO;500
160524;CAMIONETA;42000
160525;AUTOMOVIL;140700
160525;AUTOMOVIL;0
160526;AUTOMOVIL;13000
160530;AUTOMOVIL;126000
160530;MOTO;1500
160533;AUTOMOVIL;29970
160533;AUTOMOVIL;13500
160535;AUTOMOVIL;21000
160537;AUTOMOVIL;10000
160538;AUTO;9500
160540;AUTO;24000
160540;AUTO;30000
160541;SI;43000
160542;CAMION;20000
160542;CAMIONETA;25000
160542;CAMIONETA;39000
160543;AUTO;43550
160543;CAMIONETA;63650
160544;AUTOMOVIL;26000
160544;CAMIONETA;16600
160544;AUTOMOVIL;6640
160544;AUTOMOVIL;996
160546;CAMIONETA PICK UP;63375
160546;AUTO;34000
160546;AUTO;27000
160546;CAMIÓN;33000
160546;AUTO;29880
160548;AUTOMOVIL;11130
160548;AUTOMOVIL;7049
160550;AUTOMOVIL;12000
160550;AUTOMOVIL;0
158370;SUV;69300
158370;AUTO;23100
158382;AUTO;19705
158382;STATION VAGON;5000
158383;AUTO;39900
158386;AUTO;20000
158395;AUTOMOVIL;18500
158402;CAMIONETA;17000
158403;AUTO;0
158403;AUTO;14850
158403;AUTO;5940
158403;AUTO;3600
160597;SUV;25000
160598;AUTO;58500
160599;AUTO;60000
160608;AUTO;23000
160609;CAMIONETA;15000
160609;CAMIONETA;66000
